Filename,seq,seq_id,part,issue,dur_mod,dur,Label,word,sentence,before,after,V1_dur,C_dur,V2_dur,V2_maxpF1,V2_maxpF1_tpt,V2_minpF1,V2_minpF1_tpt,V2_pF1diff,timepoint,pF1_means,V1,C,V2,V1_qual,V2_qual
VS-34a_45.mat,ikii,1,V1,none,104.82500000000002,104.82500000000002,IH0,ikiich,ikiich too xuriha,sil,K,104.82500000000002,140.67000000000002,124.42700000000002,407.334,15,279.29900000000004,1,128.03499999999997,1,320.722,i,k,ii,i,i
VS-34a_45.mat,ikii,1,C,none,140.67000000000002,140.67000000000002,K,ikiich,ikiich too xuriha,IH0,IY1,104.82500000000002,140.67000000000002,124.42700000000002,407.334,15,279.29900000000004,1,128.03499999999997,1,305.71,i,k,ii,i,i
VS-34a_45.mat,ikii,1,V2,none,124.42700000000002,124.42700000000002,IY1,ikiich,ikiich too xuriha,K,CH,104.82500000000002,140.67000000000002,124.42700000000002,407.334,15,279.29900000000004,1,128.03499999999997,1,279.29900000000004,i,k,ii,i,i
VS-35b_08.mat,iki,2,V1,none,103.65500000000004,103.65500000000004,IH0,nayikiha,ta nayikiha,Y,K,103.65500000000004,230.21900000000005,112.4559999999999,337.3880000000001,10,195.866,20,141.52200000000008,1,359.0680000000001,i,k,i,i,i
VS-35b_08.mat,iki,2,C,none,230.21900000000005,230.21900000000005,K,nayikiha,ta nayikiha,IH0,IH0,103.65500000000004,230.21900000000005,112.4559999999999,337.3880000000001,10,195.866,20,141.52200000000008,1,363.422,i,k,i,i,i
VS-35b_08.mat,iki,2,V2,none,112.4559999999999,112.4559999999999,IH0,nayikiha,ta nayikiha,K,HH,103.65500000000004,230.21900000000005,112.4559999999999,337.3880000000001,10,195.866,20,141.52200000000008,1,270.562,i,k,i,i,i
VS-35b_16.mat,iki,3,V1,none,79.83999999999992,79.83999999999992,IH0,nayikiha,vura uum puxich ta nayikiha,Y,K,79.83999999999992,219.884,93.39399999999999,367.594,19,227.803,4,139.791,1,301.247,i,k,i,i,i
VS-35b_16.mat,iki,3,C,none,219.884,219.884,K,nayikiha,vura uum puxich ta nayikiha,IH0,IH0,79.83999999999992,219.884,93.39399999999999,367.594,19,227.803,4,139.791,1,268.953,i,k,i,i,i
VS-35b_16.mat,iki,3,V2,none,93.39399999999999,93.39399999999999,IH0,nayikiha,vura uum puxich ta nayikiha,K,HH,79.83999999999992,219.884,93.39399999999999,367.594,19,227.803,4,139.791,1,238.891,i,k,i,i,i
VS-35b_37.mat,iiki,4,V1,none,146.56999999999994,146.56999999999994,IY1,tukeevniikichha,tukeevniikichha,N,K,146.56999999999994,132.13300000000004,65.76999999999998,750.8710000000002,19,302.513,13,448.35800000000023,1,324.082,ii,k,i,i,i
VS-35b_37.mat,iiki,4,C,none,132.13300000000004,132.13300000000004,K,tukeevniikichha,tukeevniikichha,IY1,IH0,146.56999999999994,132.13300000000004,65.76999999999998,750.8710000000002,19,302.513,13,448.35800000000023,1,355.9,ii,k,i,i,i
VS-35b_37.mat,iiki,4,V2,none,65.76999999999998,65.76999999999998,IH0,tukeevniikichha,tukeevniikichha,K,CH,146.56999999999994,132.13300000000004,65.76999999999998,750.8710000000002,19,302.513,13,448.35800000000023,1,310.658,ii,k,i,i,i
