Filename,seq,seq_id,Label,part,word,sentence,before,after,dur_mod,seg_Start,seg_End,pF0_mean,pF0_means001,pF0_means002,pF0_means003,pF0_means004,pF0_means005,pF1_mean,pF1_means001,pF1_means002,pF1_means003,pF1_means004,pF1_means005,pF2_mean,pF2_means001,pF2_means002,pF2_means003,pF2_means004,pF2_means005,pF3_mean,pF3_means001,pF3_means002,pF3_means003,pF3_means004,pF3_means005,dur,issue
VS-37_16.mat,ikii,5,IY1,V2,pananikiit,pananikiit iin neepsharavrikeesh,K,T,129.69400000000007,517.049,646.743,172.97,203.947,171.935,163.44799999999998,163.918,163.458,329.18300000000005,286.068,338.491,345.254,343.51800000000003,334.04699999999997,2093.027,1953.852,2156.151,2194.893,2140.254,2024.9560000000001,2668.993,2730.4809999999998,2759.337,2772.7470000000003,2581.55,2468.659,129.69400000000007,none
VS-38_02.mat,iki,6,IH0,V1,pamisikih,hooy pamisikih,SH,K,104.25700000000006,853.049,957.306,189.433,213.477,194.87,188.391,182.327,167.497,333.042,328.227,354.53,356.63199999999995,334.611,293.551,1762.16,1827.2720000000002,1838.4089999999999,1890.894,1858.52,1411.201,2336.6479999999997,2166.708,2385.819,2315.322,2359.487,2453.971,104.25700000000006,none
VS-38_02.mat,iki,6,K,C,pamisikih,hooy pamisikih,IH0,IH0,252.4179999999999,957.306,1209.724,171.986,171.986,171.986,171.986,171.986,171.986,607.393,349.32599999999996,365.01,610.2869999999999,1021.034,706.841,2102.389,2209.777,2051.611,1930.129,2115.177,2203.458,3001.85,2624.387,2576.903,3012.164,3218.3259999999996,3569.426,252.4179999999999,none
VS-38_02.mat,iki,6,IH0,V2,pamisikih,hooy pamisikih,K,HH,98.10100000000011,1209.724,1307.825,122.21,120.62799999999999,123.131,123.131,123.131,123.131,330.142,309.249,341.83099999999996,377.272,341.899,284.144,2206.562,2007.753,2171.166,2260.354,2262.695,2310.632,3136.3309999999997,3349.31,3370.0409999999997,3356.7690000000002,2650.118,2954.059,98.10100000000011,none
frog-12b-cut.mat,uxu,7,UH0,V1,uxutih,paqavansaxiich uxutih neexaychakisheesh paxanchiifich,CH,HH,22.366999999999962,941.748,964.115,173.80599999999998,173.80599999999998,175.956,175.359,172.785,172.01,1389.025,1526.5529999999999,1545.168,1544.2920000000001,1535.4820000000002,852.815,2479.641,2262.869,2725.232,2767.363,2746.407,2009.0079999999998,3833.5170000000003,3649.573,4047.585,4098.318,4132.061,3342.975,22.366999999999962,none
frog-12b-cut.mat,uxu,7,HH,C,uxutih,paqavansaxiich uxutih neexaychakisheesh paxanchiifich,UH0,UH0,171.61899999999991,964.115,1135.734,193.16400000000002,174.487,174.487,174.487,174.487,258.533,916.7239999999999,903.095,908.922,991.431,892.128,890.3960000000001,1481.351,1485.271,1459.6470000000002,1472.6689999999999,1420.8429999999998,1564.2320000000002,3404.4120000000003,2971.333,3270.4429999999998,3459.3179999999998,3636.634,3692.518,171.61899999999991,none
frog-12b-cut.mat,uxu,7,UH0,V2,uxutih,paqavansaxiich uxutih neexaychakisheesh paxanchiifich,HH,T,51.8090000000002,1135.734,1187.5430000000001,231.417,254.64,243.02599999999998,225.81099999999998,219.169,216.049,396.60400000000004,334.74300000000005,411.745,434.548,420.355,384.407,1117.01,1093.26,1089.566,1144.515,1148.143,1108.7169999999999,2651.5679999999998,3066.595,2518.6820000000002,2527.938,2568.119,2554.39,51.8090000000002,none
frog-16.mat,ikii,8,IH0,V1,ikiich,xas ikiich too kvurish,SH,K,85.66000000000008,1252.819,1338.479,201.22799999999998,201.22799999999998,209.19099999999997,207.18,199.671,191.71099999999998,341.89099999999996,415.435,341.71,336.099,321.219,293.711,2139.1079999999997,2018.0320000000002,2057.251,2124.032,2184.41,2309.091,2818.885,2646.1020000000003,2706.605,2798.89,2761.241,3164.507,85.66000000000008,none
frog-16.mat,ikii,8,K,C,ikiich,xas ikiich too kvurish,IH0,IY1,130.02199999999993,1338.479,1468.501,196.145,190.24099999999999,197.315,198.308,198.308,254.49900000000002,474.097,367.736,362.514,462.74300000000005,590.684,589.501,1965.892,2197.58,1995.0739999999998,1856.195,1823.557,1927.134,2943.902,3194.535,2900.23,2656.637,3068.498,2864.042,130.02199999999993,none
frog-16.mat,ikii,8,IY1,V2,ikiich,xas ikiich too kvurish,K,CH,97.33600000000024,1468.501,1565.8370000000002,207.387,248.937,221.28900000000002,195.26,186.52700000000002,185.843,342.24,280.175,355.59,383.164,371.45099999999996,323.119,2002.384,2037.7160000000001,2050.8979999999997,2022.486,1974.43,1931.231,2634.8340000000003,2993.357,2721.235,2643.8459999999995,2475.028,2350.08,97.33600000000024,none
