Filename,seq,seq_id,Label,part,word,sentence,before,after,dur_mod,seg_Start,seg_End,pF0_mean,pF0_means001,pF0_means002,pF0_means003,pF0_means004,pF0_means005,pF0_means006,pF0_means007,pF0_means008,pF0_means009,pF0_means010,pF0_means011,pF0_means012,pF0_means013,pF0_means014,pF0_means015,pF0_means016,pF0_means017,pF0_means018,pF0_means019,pF0_means020,pF1_mean,pF1_means001,pF1_means002,pF1_means003,pF1_means004,pF1_means005,pF1_means006,pF1_means007,pF1_means008,pF1_means009,pF1_means010,pF1_means011,pF1_means012,pF1_means013,pF1_means014,pF1_means015,pF1_means016,pF1_means017,pF1_means018,pF1_means019,pF1_means020,pF2_mean,pF2_means001,pF2_means002,pF2_means003,pF2_means004,pF2_means005,pF2_means006,pF2_means007,pF2_means008,pF2_means009,pF2_means010,pF2_means011,pF2_means012,pF2_means013,pF2_means014,pF2_means015,pF2_means016,pF2_means017,pF2_means018,pF2_means019,pF2_means020,pF3_mean,pF3_means001,pF3_means002,pF3_means003,pF3_means004,pF3_means005,pF3_means006,pF3_means007,pF3_means008,pF3_means009,pF3_means010,pF3_means011,pF3_means012,pF3_means013,pF3_means014,pF3_means015,pF3_means016,pF3_means017,pF3_means018,pF3_means019,pF3_means020,dur,issue
karuk-2012-10-20-vs-4_C_03.mat,ikii,23,IH0,V1,ikiich,ikiich tee xuriha,sil,K,58.19499999999999,386.327,444.522,217.399,217.399,217.399,216.24200000000002,216.91,216.09599999999998,217.58900000000003,219.64,221.077,221.793,221.96900000000002,222.03599999999997,222.44299999999998,222.49900000000002,222.65099999999998,221.64700000000002,219.362,215.477,209.74400000000003,206.50099999999998,203.549,328.751,373.23400000000004,385.26599999999996,398.824,407.465,408.284,405.50300000000004,400.847,393.707,382.041,366.505,344.036,313.404,285.262,265.768,257.55,254.673,250.09900000000002,243.11700000000002,234.584,227.92700000000002,2193.712,2224.2270000000003,2225.705,2221.061,2216.879,2216.745,2221.9629999999997,2234.8089999999997,2253.354,2273.496,2280.658,2274.354,2264.883,2264.007,2277.561,2298.049,2318.516,2334.408,2182.7870000000003,1697.154,1685.056,2634.9240000000004,2760.3,2788.68,2778.367,2738.2290000000003,2702.616,2693.278,2700.1620000000003,2710.8579999999997,2718.086,2720.5159999999996,2715.185,2698.558,2673.2470000000003,2635.789,2571.485,2496.112,2446.395,2422.485,2401.2070000000003,2380.8720000000003,58.19499999999999,none
karuk-2012-10-20-vs-4_C_03.mat,ikii,23,K,C,ikiich,ikiich tee xuriha,IH0,IY1,121.34300000000002,444.522,565.865,200.333,200.89,200.13299999999998,199.9,199.9,199.9,199.9,199.9,199.9,199.9,199.9,199.9,199.9,199.9,199.9,199.9,199.9,199.9,199.9,199.9,199.9,668.3539999999999,241.255,324.41900000000004,409.43800000000005,439.885,448.26300000000003,446.02,441.606,468.64099999999996,465.472,491.533,901.221,1003.2439999999999,1201.5230000000001,1185.475,925.1610000000001,967.1030000000001,861.7919999999999,885.477,870.45,429.88300000000004,2145.623,1483.501,1910.908,1930.2779999999998,1879.2939999999999,2123.92,2331.6420000000003,2372.176,2335.654,2235.277,2182.119,2321.979,2317.994,2446.7529999999997,2309.379,2167.564,2452.606,2254.979,1997.224,1899.3339999999998,1851.99,2779.6609999999996,2323.272,2710.68,2326.038,2349.741,2576.126,2593.155,2602.369,3328.728,3140.4829999999997,2542.973,3168.548,3108.546,2765.343,2757.185,2736.824,2779.429,2881.7859999999996,3063.283,2900.368,2883.3179999999998,121.34300000000002,none
karuk-2012-10-20-vs-4_C_03.mat,ikii,23,IY1,V2,ikiich,ikiich tee xuriha,K,CH,107.90899999999988,565.865,673.7739999999999,211.597,258.24,257.096,240.47299999999998,232.828,228.908,225.472,221.672,218.118,214.65900000000002,209.30700000000002,204.815,201.613,199.21,197.329,195.49900000000002,193.78599999999997,191.93099999999998,189.334,186.555,182.83,360.68199999999996,283.068,288.491,312.51599999999996,336.879,358.652,376.994,391.00199999999995,397.213,398.686,398.01599999999996,394.731,391.086,388.691,384.952,376.61800000000005,368.116,357.04,348.767,348.337,326.058,2089.866,2030.251,2125.435,2138.927,2162.047,2181.394,2182.772,2171.205,2155.194,2144.776,2133.738,2121.507,2117.97,2109.397,2089.361,2052.8360000000002,2012.989,1984.979,1961.675,1944.182,1989.015,2837.82,2997.6820000000002,2985.946,2956.48,2950.485,2935.6240000000003,2918.775,2892.062,2868.2870000000003,2849.0809999999997,2824.91,2812.07,2793.008,2775.917,2771.241,2741.4959999999996,2708.634,2695.4240000000004,2685.117,2683.7540000000004,2872.261,107.90899999999988,none
karuk-2012-10-20-vs-4_C_12.mat,iki,24,IH0,V1,pasikih,taak pasikih,SH,K,83.21600000000001,660.188,743.404,74.459,74.459,74.459,78.685,77.866,77.567,76.821,76.031,75.347,74.59899999999999,73.835,73.436,73.093,72.888,72.815,72.835,72.95100000000001,73.057,73.07,73.064,73.06,363.611,329.05400000000003,371.32199999999995,382.69300000000004,382.74199999999996,385.561,390.519,393.12300000000005,384.98900000000003,379.775,381.209,366.36400000000003,356.366,359.1,348.03,337.995,361.13800000000003,371.398,345.949,322.328,332.82300000000004,1697.3629999999998,1505.8220000000001,1515.892,1491.4279999999999,1507.245,1540.27,1593.326,1630.5970000000002,1654.3129999999999,1712.374,1756.961,1760.3829999999998,1790.595,1841.453,1835.852,1860.9489999999998,1971.92,1963.957,1904.0629999999999,1549.6889999999999,1549.763,2269.439,2945.42,2517.877,2246.113,2225.8070000000002,2199.701,2193.89,2231.549,2249.665,2246.519,2243.8979999999997,2242.23,2212.487,2169.335,2162.44,2152.589,2147.3979999999997,2162.619,2173.604,2182.759,2341.401,83.21600000000001,none
karuk-2012-10-20-vs-4_C_12.mat,iki,24,K,C,pasikih,taak pasikih,IH0,IH0,186.29399999999998,743.404,929.698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.444,400.444,521.895,623.746,602.2180000000001,491.148,478.96,536.347,586.857,697.3689999999999,655.314,528.571,480.85,471.473,768.755,873.523,1080.11,994.539,520.425,479.265,307.763,1841.8629999999998,2058.1220000000003,2001.565,1999.05,1775.658,1685.142,1705.1370000000002,1451.3,1429.5539999999999,2074.28,1961.88,1611.5439999999999,1662.4520000000002,1644.766,1865.6170000000002,1988.62,2108.8520000000003,2070.926,1909.475,1976.433,1822.894,2904.455,2806.218,3145.091,3050.704,3020.901,2871.377,2904.0359999999996,2839.1479999999997,2595.47,3206.236,3106.9040000000005,2943.989,3130.164,2975.485,3213.308,2992.325,2564.422,2543.962,2640.5879999999997,2759.56,2801.863,186.29399999999998,none
karuk-2012-10-20-vs-4_C_12.mat,iki,24,IH0,V2,pasikih,taak pasikih,K,HH,61.45099999999991,929.698,991.1489999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.64599999999996,337.465,346.39300000000003,352.644,357.94199999999995,364.026,372.92800000000005,381.80300000000005,385.495,382.765,370.486,359.64599999999996,374.32099999999997,389.78,400.26,412.525,420.36400000000003,416.346,398.48699999999997,390.005,436.449,2026.1,2052.633,2063.362,2059.967,2049.734,2039.114,2033.4679999999998,2031.619,2027.443,2023.8829999999998,2025.84,2045.93,2082.7889999999998,1992.1,2058.406,2112.42,2074.575,2062.3070000000002,2065.533,1885.2920000000001,1766.361,2623.538,2979.0359999999996,2840.49,2508.098,2578.0879999999997,2667.337,2635.6079999999997,2654.228,2678.631,2638.6620000000003,2539.401,2429.212,2298.7470000000003,2289.553,2237.485,2483.633,2820.798,3013.2859999999996,3125.1459999999997,2558.254,2536.1279999999997,61.45099999999991,none
karuk-2012-10-20-vs-4_C_13.mat,iki,25,IH0,V1,pasikih,pasikih naqeehi,SH,K,72.845,233.40099999999998,306.246,182.136,192.484,190.804,186.32,184.847,183.03400000000002,181.399,180.521,179.68400000000003,179.247,179.02900000000002,179.014,179.29,179.672,180.127,180.38,180.65400000000002,180.918,180.986,180.72,180.362,447.164,462.93800000000005,461.276,461.215,463.657,465.957,466.586,467.31199999999995,469.309,471.43,472.514,472.673,471.721,469.25,465.134,456.77099999999996,437.226,410.93300000000005,382.499,359.842,357.648,1545.4089999999999,1357.049,1341.114,1345.4379999999999,1365.614,1389.0970000000002,1403.8470000000002,1412.8829999999998,1425.0839999999998,1448.5320000000002,1489.8570000000002,1537.9379999999999,1573.015,1605.9270000000001,1633.145,1657.499,1679.2079999999999,1704.0020000000002,1773.616,1906.443,1870.384,2283.51,2739.7659999999996,2601.209,2474.45,2390.444,2323.8779999999997,2268.399,2249.988,2272.609,2295.024,2287.991,2276.6079999999997,2262.4179999999997,2252.9770000000003,2241.508,2212.06,2155.05,2079.516,2007.5520000000001,2018.8470000000002,2166.399,72.845,none
karuk-2012-10-20-vs-4_C_13.mat,iki,25,K,C,pasikih,pasikih naqeehi,IH0,IH0,112.21700000000004,306.246,418.463,175.51,178.842,174.345,171.53900000000002,174.537,179.65599999999998,179.65599999999998,179.65599999999998,179.65599999999998,179.65599999999998,179.65599999999998,179.65599999999998,179.65599999999998,179.65599999999998,179.65599999999998,179.65599999999998,179.65599999999998,179.65599999999998,179.65599999999998,179.65599999999998,179.65599999999998,614.5269999999999,409.28,471.776,494.351,479.284,472.776,519.472,504.975,496.782,519.694,532.548,702.628,990.512,1014.7139999999999,979.868,783.725,722.2260000000001,731.721,611.679,519.331,347.164,1890.014,1789.943,1728.3239999999998,1741.7089999999998,1676.2839999999999,1606.981,1720.104,1869.276,1715.862,1695.182,1759.1860000000001,1843.171,1931.016,2031.017,2156.234,2110.223,2101.1420000000003,2224.217,2280.174,2071.686,1747.382,2559.633,2248.605,2269.862,2293.627,2455.721,2494.942,2587.868,3020.039,2698.066,2740.469,2698.027,2465.515,2490.87,2541.471,2597.258,2512.69,2493.866,2610.327,2682.5440000000003,2701.237,2621.0029999999997,112.21700000000004,none
karuk-2012-10-20-vs-4_C_13.mat,iki,25,IH0,V2,pasikih,pasikih naqeehi,K,HH,52.61299999999994,418.463,471.07599999999996,182.655,206.01,217.985,216.718,198.08,193.079,188.067,186.55700000000002,183.511,182.725,180.679,179.697,178.265,176.358,174.609,172.56599999999997,170.697,168.192,167.063,164.445,161.439,441.588,331.152,368.37300000000005,404.78,439.93300000000005,474.88800000000003,493.899,503.971,510.001,510.64,505.789,497.969,489.406,478.50699999999995,468.231,454.705,433.686,413.11,390.06800000000004,368.445,352.49,1855.283,1782.682,1950.743,1972.2820000000002,1957.1889999999999,1952.9029999999998,1959.989,1962.317,1947.389,1928.4470000000001,1910.07,1888.4360000000001,1863.987,1841.7120000000002,1828.535,1812.1629999999998,1785.119,1759.555,1729.13,1691.644,1655.0810000000001,2591.368,2508.901,2506.894,2572.986,2599.581,2615.507,2622.115,2623.7470000000003,2626.145,2628.89,2624.1209999999996,2610.937,2601.916,2603.741,2604.3320000000003,2595.632,2585.124,2586.665,2589.9410000000003,2585.359,2570.475,52.61299999999994,none
karuk-2012-10-20-vs-4_C_42.mat,upu,26,UH0,V1,voonupuk,iikam voonupuk,N,P,66.96600000000001,825.586,892.552,141.416,147.048,146.915,146.673,146.05700000000002,145.586,145.08,143.959,143.092,142.256,141.504,140.928,140.332,139.866,139.637,139.101,137.963,137.138,136.27700000000002,135.668,134.869,365.361,368.215,381.85699999999997,396.542,413.04900000000004,425.415,428.781,419.399,407.756,393.26099999999997,375.286,358.865,342.776,335.461,334.44300000000004,332.55699999999996,324.947,320.677,321.003,323.389,319.969,1009.9810000000001,1226.9569999999999,1166.008,1139.728,1131.7069999999999,1121.2730000000001,1095.3519999999999,1058.272,1024.297,1003.802,988.66,977.204,964.488,947.832,925.763,883.0889999999999,855.862,879.12,923.5980000000001,951.9169999999999,953.797,2579.319,2404.669,2347.333,2445.639,2547.453,2616.658,2666.164,2689.1440000000002,2688.389,2671.762,2637.9590000000003,2597.353,2573.2329999999997,2565.578,2559.5789999999997,2558.965,2553.978,2562.438,2619.018,2641.305,2632.514,66.96600000000001,none
