Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF0_means006	pF0_means007	pF0_means008	pF0_means009	pF0_means010	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF1_means006	pF1_means007	pF1_means008	pF1_means009	pF1_means010	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF2_means006	pF2_means007	pF2_means008	pF2_means009	pF2_means010	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	pF3_means006	pF3_means007	pF3_means008	pF3_means009	pF3_means010	
VS-35b_37.mat	"iiki"	610.845	955.318	133.887	146.926	144.056	138.490	130.448	118.579	115.299	115.299	115.299	115.299	115.299	388.566	313.196	311.077	301.731	298.450	307.885	303.975	537.670	739.772	337.177	443.998	1875.543	1903.113	2045.096	2124.073	2166.831	1551.531	1656.684	1691.830	1926.599	1725.714	1946.594	2806.327	2552.030	2614.364	2566.265	2900.366	2608.376	2973.592	2995.406	2880.771	2841.860	3101.971	
VS-35b_37.mat	"IY1"	610.845	757.415	139.038	148.192	146.153	145.003	144.312	142.639	139.667	136.623	133.216	129.653	124.839	308.155	318.144	308.232	310.922	311.488	311.143	304.099	296.540	290.285	298.046	331.631	2065.797	1848.280	1931.847	2013.153	2042.628	2086.467	2123.698	2118.614	2140.603	2186.425	2171.799	2680.221	2567.265	2528.424	2577.111	2638.144	2528.736	2453.210	2734.300	2889.551	2806.610	3073.329	
VS-35b_37.mat	"K"	757.415	889.548	116.415	120.337	113.097	114.650	119.067	119.067	119.067	119.067	119.067	119.067	119.067	471.367	320.735	271.920	310.241	313.910	374.954	502.024	508.302	868.563	662.391	630.021	1664.143	1698.117	1029.796	1989.334	1439.619	1468.260	1824.500	1523.722	1882.484	1836.206	1902.087	2839.627	2539.787	2473.941	3535.814	2428.674	2881.231	3374.988	2697.177	2436.947	2928.178	3086.170	
VS-35b_37.mat	"IH0"	889.548	955.318	0	0	0	0	0	0	0	0	0	0	0	397.766	320.981	339.225	365.572	370.315	326.720	315.111	311.228	333.402	576.701	713.584	1876.512	1370.574	1984.742	2033.224	1959.561	1495.126	1659.304	1967.255	2039.291	2160.753	2077.451	3014.907	2304.333	2682.043	3415.358	3507.211	2496.746	1995.047	2731.608	4022.248	3702.644	3477.746	
VS-37_16.mat	"ikii"	318.592	646.743	186.322	202.478	201.245	197.087	204.713	201.386	201.386	200.378	167.292	163.340	163.724	418.146	307.453	256.922	322.161	278.281	743.559	973.476	292.622	341.177	345.565	335.433	2087.170	2052.649	2173.988	1964.594	2001.359	2097.324	2222.341	1984.367	2165.695	2182.475	2037.815	2667.050	2433.291	2481.987	2488.590	2641.767	2961.754	3002.413	2797.592	2784.007	2648.922	2489.500	
VS-37_16.mat	"IH0"	318.592	378.224	202.143	200.502	200.668	202.099	203.656	204.338	204.515	203.544	202.198	200.953	199.358	285.706	274.340	300.688	319.768	324.516	319.594	312.637	286.856	251.891	243.299	235.791	2101.874	2039.527	2074.670	2039.008	2045.614	2054.457	2079.759	2140.696	2142.587	2155.462	2227.179	2438.988	2494.148	2371.105	2388.843	2410.371	2463.900	2437.024	2359.711	2474.594	2522.240	2451.604	
VS-37_16.mat	"K"	378.224	517.049	199.201	197.617	191.861	204.179	204.787	204.787	204.787	200.794	204.751	204.751	204.751	555.720	293.156	331.385	295.714	237.264	308.652	373.072	760.990	1280.437	1170.887	544.444	2075.397	2134.070	1829.265	2037.696	1984.560	2018.153	1820.378	2211.713	2331.800	2388.880	1972.140	2763.275	2760.182	2313.019	2349.700	2650.415	2648.957	2928.490	2965.899	2990.893	3033.169	2972.002	
VS-37_16.mat	"IY1"	517.049	646.743	172.970	215.627	193.686	177.101	166.559	164.052	162.839	163.288	164.553	164.299	162.593	329.183	269.370	303.233	335.544	341.505	342.951	347.479	345.594	341.458	337.253	330.816	2093.027	2056.251	1850.783	2148.794	2163.321	2179.262	2212.253	2174.411	2108.122	2081.530	1971.143	2668.993	2823.922	2596.432	2969.708	2557.740	2878.565	2694.347	2569.686	2599.290	2511.676	2426.481	
VS-38_02.mat	"iki"	853.049	1307.825	175.625	203.155	182.721	169.577	176.854	176.854	176.854	176.854	176.854	122.210	122.210	485.416	342.592	339.738	320.575	350.834	527.767	797.744	917.087	584.790	344.792	321.915	2045.913	1842.679	1807.823	1957.288	2140.938	2007.838	1997.157	1994.003	2269.561	2134.652	2283.427	2878.640	2277.452	2349.648	2503.549	2747.848	2781.273	3016.391	3295.391	3564.072	3379.147	2871.691	
VS-38_02.mat	"IH0"	853.049	957.306	189.433	222.600	205.475	196.794	193.079	190.007	186.901	184.361	180.349	171.251	163.072	333.042	310.069	345.040	351.983	356.795	358.564	355.020	338.591	330.514	316.605	270.090	1762.160	1788.753	1855.398	1828.734	1841.933	1941.995	1845.932	1836.953	1887.700	1384.646	1373.105	2336.648	2170.055	2157.471	2373.644	2400.836	2300.910	2329.579	2353.072	2367.973	2387.409	2520.126	
