Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF0_means006	pF0_means007	pF0_means008	pF0_means009	pF0_means010	pF0_means011	pF0_means012	pF0_means013	pF0_means014	pF0_means015	pF0_means016	pF0_means017	pF0_means018	pF0_means019	pF0_means020	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF1_means006	pF1_means007	pF1_means008	pF1_means009	pF1_means010	pF1_means011	pF1_means012	pF1_means013	pF1_means014	pF1_means015	pF1_means016	pF1_means017	pF1_means018	pF1_means019	pF1_means020	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF2_means006	pF2_means007	pF2_means008	pF2_means009	pF2_means010	pF2_means011	pF2_means012	pF2_means013	pF2_means014	pF2_means015	pF2_means016	pF2_means017	pF2_means018	pF2_means019	pF2_means020	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	pF3_means006	pF3_means007	pF3_means008	pF3_means009	pF3_means010	pF3_means011	pF3_means012	pF3_means013	pF3_means014	pF3_means015	pF3_means016	pF3_means017	pF3_means018	pF3_means019	pF3_means020	
karuk-2015-04-18-vs-4_21.mat	"IY1"	2260.881	2433.148	133.973	142.286	139.959	135.944	132.255	131.209	130.742	131.410	132.113	133.088	134.010	134.094	133.739	133.478	133.405	133.198	132.984	133.191	133.753	134.230	134.154	313.218	328.320	325.330	326.638	332.708	349.442	341.813	327.261	314.801	314.259	320.551	322.615	310.315	307.464	307.489	303.609	295.282	288.949	286.538	282.901	277.552	2217.542	2042.056	2105.394	2122.950	2164.648	2186.767	2203.118	2223.260	2218.032	2223.036	2255.239	2268.199	2272.379	2273.094	2266.786	2254.165	2248.233	2251.293	2242.699	2256.983	2278.974	2974.076	2616.205	2714.638	2761.708	2821.328	2852.420	2858.241	2880.685	2899.835	2933.793	2924.734	2948.906	2987.405	2997.459	2996.891	2949.715	3054.200	3289.984	3391.139	3372.258	3233.106	
karuk-2015-04-18-vs-4_21.mat	"K"	2433.148	2558.540	132.804	133.499	132.378	132.120	132.120	132.120	132.120	132.120	132.120	132.120	132.120	132.120	132.120	132.120	132.120	132.120	132.120	132.120	132.120	132.120	132.120	537.735	255.016	242.578	271.336	279.391	278.457	288.019	296.969	871.823	1063.195	279.441	266.565	272.220	286.312	860.561	1273.753	1111.967	723.646	519.659	612.966	670.065	2003.210	2132.538	2237.454	2132.822	1991.551	1820.429	1734.142	1629.134	2097.836	2490.819	2103.126	1867.063	1745.408	1917.716	2283.545	2046.242	2058.069	1826.967	1862.120	2027.272	1993.075	2947.364	2967.194	2657.463	2685.855	2845.176	2800.663	2791.687	2757.365	3268.775	3717.532	3338.991	2691.271	2856.556	2895.562	3472.079	2923.140	2860.770	2753.777	2807.391	2904.931	2837.860	
karuk-2015-04-18-vs-4_21.mat	"IH0"	2558.540	2636.661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	886.363	647.567	641.026	631.512	714.470	1105.615	1205.545	1167.811	846.229	714.798	758.866	766.915	754.725	793.077	926.041	1344.010	1313.851	760.618	805.056	833.125	911.551	1996.130	1897.630	1944.239	1981.110	2026.679	2195.561	2323.607	2211.983	2012.497	1989.035	2006.841	1965.431	1905.929	1901.166	1917.855	1849.336	2061.880	1856.064	1923.139	1945.948	1934.657	2873.446	2771.468	2799.626	2878.189	2989.793	3081.579	3035.509	2923.642	2864.294	2844.286	2815.076	2764.486	2741.882	2758.533	2802.462	2809.872	3204.384	2736.169	2796.991	2839.815	2854.012	
karuk-2015-04-18-vs-4_41.mat	"ufu"	908.461	1223.654	168.587	68.689	68.875	123.268	199.115	174.398	163.634	162.964	169.621	169.621	169.621	169.621	169.621	169.621	250.586	229.893	200.199	190.111	184.937	184.865	185.446	718.043	334.162	351.402	349.474	399.445	370.180	257.912	1377.747	1276.756	1194.314	1429.775	1349.028	1270.013	1425.672	664.959	383.231	399.350	391.537	398.908	406.609	403.416	1601.964	1534.712	1560.018	1596.316	1550.414	1564.283	1668.914	2243.733	1931.193	1922.548	2018.412	1926.949	1882.367	2126.026	1663.947	1019.501	1015.883	1092.563	1172.559	1286.535	1282.561	2545.882	2309.047	2332.699	2314.301	2274.192	2286.519	2268.235	3724.316	2412.646	2658.835	3224.481	2574.687	2563.399	3105.204	2545.057	2293.759	2418.554	2422.863	2373.134	2387.876	2360.379	
karuk-2015-04-18-vs-4_41.mat	"UH0"	908.461	993.154	130.444	68.657	68.559	68.652	68.902	69.024	68.749	68.746	68.992	68.993	121.426	200.811	201.726	203.498	197.942	191.174	182.566	174.292	167.796	165.998	162.161	355.496	319.483	339.194	345.107	340.704	349.251	358.252	354.944	342.352	337.063	353.478	361.958	369.255	392.859	414.269	421.909	427.037	403.660	324.906	285.724	295.360	1567.084	1582.114	1502.112	1498.956	1533.946	1559.783	1562.495	1560.378	1564.116	1574.242	1604.132	1626.430	1605.236	1561.638	1530.809	1503.863	1495.537	1540.088	1616.309	1646.462	1640.308	2293.654	2286.727	2306.435	2318.519	2338.936	2345.825	2333.657	2318.832	2325.633	2335.412	2300.139	2295.531	2296.859	2267.445	2258.682	2284.830	2333.942	2344.792	2273.159	2127.296	2179.470	
karuk-2015-04-18-vs-4_41.mat	"F"	993.154	1123.027	171.484	162.924	164.165	161.875	163.467	169.621	169.621	169.621	169.621	169.621	169.621	169.621	169.621	169.621	169.621	169.621	169.621	169.621	169.621	169.621	247.572	1202.115	257.199	383.163	1602.564	1680.356	1632.777	993.034	1346.234	1108.018	969.216	1301.477	1624.356	1586.912	1283.237	1181.627	1200.524	1351.072	1432.167	1417.194	1459.014	478.231	1969.023	1675.514	1791.679	2382.356	2347.642	2305.020	1630.537	1981.564	2006.822	1590.626	1911.337	2196.886	2205.980	1687.711	1908.019	1843.415	1874.959	2071.725	2153.015	2186.160	1662.243	2850.416	2322.221	2618.848	4131.181	3902.304	2521.170	2338.272	2392.856	3069.101	2298.062	3276.424	3444.664	2856.361	2474.938	2501.107	2455.840	2616.977	3053.647	3135.776	3316.784	2442.183	
karuk-2015-04-18-vs-4_41.mat	"UH0"	1123.027	1223.654	199.381	250.617	250.251	231.622	218.766	208.328	201.918	197.553	193.982	191.460	189.073	187.223	185.502	184.411	183.886	184.263	185.023	185.678	185.807	185.513	184.972	394.042	344.799	371.303	376.598	391.947	399.374	401.052	399.589	395.185	392.352	389.890	391.866	396.642	400.361	403.147	405.659	407.480	407.194	405.916	403.103	400.516	1159.347	1379.220	1082.824	1018.674	1004.922	981.006	992.738	1030.933	1070.419	1090.601	1093.064	1107.141	1134.132	1185.502	1236.653	1273.170	1295.428	1300.205	1294.074	1282.554	1268.114	2360.707	2139.620	2186.450	2244.468	2372.199	2414.722	2410.966	2422.742	2427.408	2433.418	2425.339	2398.870	2393.454	2361.211	2354.332	2384.773	2393.331	2388.061	2369.821	2372.084	2338.749	
karuk-2015-04-18-vs-4_44.mat	"ikii"	776.640	1081.961	172.383	213.959	208.549	189.163	178.773	171.213	166.798	161.859	161.859	161.859	161.859	161.859	161.859	161.859	161.859	161.859	167.800	157.540	154.353	153.308	148.901	534.157	289.558	297.332	271.152	246.480	214.551	462.835	1193.325	620.243	342.552	1013.012	1019.504	1032.769	1005.380	763.855	294.136	332.144	332.409	340.079	362.716	332.382	2019.654	2074.732	2114.835	2117.522	2227.389	2096.515	2018.102	2428.513	2192.388	1804.675	2244.586	2120.173	2128.073	1984.698	1823.458	2016.287	1985.374	1638.336	1469.490	1997.494	1969.485	3001.990	3162.134	3084.628	2901.315	3280.583	3125.023	2784.023	3587.357	2832.563	2774.581	3378.714	3168.760	3361.947	3190.536	2811.163	3034.621	2546.064	2132.132	2195.103	3074.099	3574.313	
karuk-2015-04-18-vs-4_44.mat	"IH0"	776.640	854.351	190.380	190.380	212.623	215.362	214.069	209.181	212.710	208.131	202.204	190.810	189.857	189.016	181.779	180.527	179.821	178.101	175.378	172.964	171.611	170.223	168.427	262.716	276.393	285.338	293.849	301.916	310.665	315.620	293.205	263.139	252.507	261.744	284.200	290.198	271.016	251.334	229.044	216.538	216.954	216.724	213.691	209.148	2121.925	2067.412	2072.554	2072.500	2084.882	2109.956	2114.590	2117.098	2119.987	2127.432	2131.627	2110.234	2106.014	2169.751	2235.368	2271.590	2277.411	2259.223	2231.916	1929.570	1848.337	3097.888	3215.353	3084.170	3063.972	3230.208	3275.618	3106.474	2981.741	2921.145	2911.170	2911.864	2869.358	2939.571	3182.800	3293.215	3326.584	3454.745	3589.677	3547.944	2839.483	2184.014	
karuk-2015-04-18-vs-4_44.mat	"K"	854.351	998.313	166.007	167.548	165.100	160.831	160.831	160.831	160.831	160.831	160.831	160.831	160.831	160.831	160.831	160.831	160.831	160.831	160.831	160.831	160.831	160.831	160.831	792.809	384.338	807.181	965.794	1348.497	1141.776	316.390	307.118	234.148	870.576	975.781	953.722	1070.235	1023.911	1064.664	907.395	1029.727	1051.740	858.220	534.144	283.994	2071.104	2026.544	2161.166	2207.997	2568.547	2623.086	1940.566	1922.735	1595.541	2149.358	2143.762	2245.896	2063.882	2089.175	2189.493	2050.405	2011.810	1900.623	1782.621	1865.956	2010.301	3093.982	2637.677	3240.490	3403.651	3803.663	3331.595	2515.237	2586.754	2817.012	3347.469	3414.446	3057.110	3175.175	3360.061	3344.273	3390.809	3291.034	2922.737	2818.942	2781.811	2931.429	
