Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	
VS-38_02.mat	"K"	957.306	1209.724	171.986	171.986	171.986	171.986	171.986	171.986	607.393	349.326	365.010	610.287	1021.034	706.841	2102.389	2209.777	2051.611	1930.129	2115.177	2203.458	3001.850	2624.387	2576.903	3012.164	3218.326	3569.426	
VS-38_02.mat	"IH0"	1209.724	1307.825	122.210	120.628	123.131	123.131	123.131	123.131	330.142	309.249	341.831	377.272	341.899	284.144	2206.562	2007.753	2171.166	2260.354	2262.695	2310.632	3136.331	3349.310	3370.041	3356.769	2650.118	2954.059	
frog-12b-cut.mat	"uxu"	941.748	1187.543	215.105	173.834	173.834	173.834	257.529	230.404	852.880	1125.444	942.892	921.386	880.114	399.925	1497.385	1941.733	1481.671	1447.103	1500.952	1115.854	3283.553	3296.004	3321.519	3551.052	3675.269	2607.081	
frog-12b-cut.mat	"UH0"	941.748	964.115	173.806	173.806	175.956	175.359	172.785	172.010	1389.025	1526.553	1545.168	1544.292	1535.482	852.815	2479.641	2262.869	2725.232	2767.363	2746.407	2009.008	3833.517	3649.573	4047.585	4098.318	4132.061	3342.975	
frog-12b-cut.mat	"HH"	964.115	1135.734	193.164	174.487	174.487	174.487	174.487	258.533	916.724	903.095	908.922	991.431	892.128	890.396	1481.351	1485.271	1459.647	1472.669	1420.843	1564.232	3404.412	2971.333	3270.443	3459.318	3636.634	3692.518	
frog-12b-cut.mat	"UH0"	1135.734	1187.543	231.417	254.640	243.026	225.811	219.169	216.049	396.604	334.743	411.745	434.548	420.355	384.407	1117.010	1093.260	1089.566	1144.515	1148.143	1108.717	2651.568	3066.595	2518.682	2527.938	2568.119	2554.390	
frog-16.mat	"ikii"	1252.819	1565.837	202.381	206.116	192.911	197.249	238.710	190.569	397.847	359.469	333.441	497.799	439.478	360.495	2023.303	2086.445	2166.495	1896.517	1990.034	1979.876	2811.590	2714.508	3106.495	2866.680	2870.586	2503.517	
frog-16.mat	"IH0"	1252.819	1338.479	201.228	201.228	209.191	207.180	199.671	191.711	341.891	415.435	341.710	336.099	321.219	293.711	2139.108	2018.032	2057.251	2124.032	2184.410	2309.091	2818.885	2646.102	2706.605	2798.890	2761.241	3164.507	
frog-16.mat	"K"	1338.479	1468.501	196.145	190.241	197.315	198.308	198.308	254.499	474.097	367.736	362.514	462.743	590.684	589.501	1965.892	2197.580	1995.074	1856.195	1823.557	1927.134	2943.902	3194.535	2900.230	2656.637	3068.498	2864.042	
frog-16.mat	"IY1"	1468.501	1565.837	207.387	248.937	221.289	195.260	186.527	185.843	342.240	280.175	355.590	383.164	371.451	323.119	2002.384	2037.716	2050.898	2022.486	1974.430	1931.231	2634.834	2993.357	2721.235	2643.846	2475.028	2350.080	
frog-16b.mat	"uxu"	1420.400	1710.506	159.900	210.642	81.355	133.516	173.721	193.238	480.775	358.563	377.653	649.099	518.914	519.533	1390.058	1056.524	875.248	1689.925	1675.598	1665.653	2875.703	2569.467	2411.618	3332.069	3122.703	2972.231	
frog-16b.mat	"UH0"	1420.400	1559.698	132.304	217.859	197.357	80.177	81.340	88.769	348.434	325.291	389.756	400.719	365.160	264.016	966.654	1133.225	987.069	903.386	862.264	939.505	2520.249	2740.208	2410.898	2358.122	2455.024	2631.688	
frog-16b.mat	"HH"	1559.698	1647.269	169.826	166.976	164.821	167.970	170.376	178.926	643.315	721.356	1132.124	989.730	195.351	176.025	1844.502	1806.481	2606.600	2290.164	1251.960	1269.449	3343.012	3381.616	4279.929	4025.084	2527.417	2509.037	
frog-16b.mat	"UH0"	1647.269	1710.506	192.820	190.318	196.176	197.729	194.587	186.266	539.567	696.230	240.580	243.483	294.381	1187.331	1689.993	1852.641	1310.912	1307.607	1380.725	2557.340	3017.452	3300.014	2546.908	2526.287	2679.675	3955.608	
karuk-2010-05-01-arg-edited-2_15.mat	"uxuu"	653.223	1068.433	181.684	187.611	190.617	191.364	189.665	153.173	539.546	457.131	522.200	676.035	664.948	374.506	1195.169	837.342	1194.932	1611.583	1254.224	1069.799	2794.235	2572.041	2805.070	3160.422	2846.769	2579.841	
karuk-2010-05-01-arg-edited-2_15.mat	"UH0"	653.223	763.867	188.745	181.972	185.649	190.704	193.715	191.750	439.660	422.666	442.584	536.154	412.452	381.896	843.286	965.572	814.617	776.243	781.873	878.798	2545.455	2626.659	2658.741	2534.969	2441.519	2456.713	
karuk-2010-05-01-arg-edited-2_15.mat	"HH"	763.867	983.267	190.659	189.349	192.047	191.311	188.815	188.815	653.185	593.184	590.266	742.710	670.418	678.848	1421.226	1438.009	1030.140	2092.340	1078.614	1493.807	3002.419	3015.498	2733.527	3527.532	2856.759	2898.694	
karuk-2010-05-01-arg-edited-2_15.mat	"UW1"	983.267	1068.433	153.173	170.449	164.661	155.637	145.158	141.104	373.800	381.153	354.371	357.133	401.583	378.244	1074.248	1004.362	1018.264	1142.158	989.830	1209.975	2578.889	2569.759	2538.548	2594.899	2544.526	2637.387	
karuk-2010-05-01-arg-edited-2_43.mat	"ikii"	0.000	117.168	197.644	197.644	197.644	197.644	206.840	188.320	598.100	598.100	928.067	785.230	354.857	350.661	2305.047	2305.047	2495.079	2497.310	2182.347	2066.379	2789.441	2789.441	2815.231	2894.059	2730.942	2717.686	
