Filename,seq,seq_id,part,issue,dur_mod,dur,Label,word,sentence,before,after,V1_dur,C_dur,V2_dur,V2_maxF2,V2_maxF2_tpt,V2_minF2,V2_minF2_tpt,V2_F2diff,timepoint,pF2_means,V1,C,V2,V1_qual,V2_qual
VS-34a_45.mat,ikii,1,V1,none,104.82500000000002,104.82500000000002,IH0,ikiich,ikiich too xuriha,sil,K,104.82500000000002,140.67000000000002,124.42700000000002,2024.354,2,1593.806,5,430.548,1,1890.387,i,k,ii,i,i
VS-34a_45.mat,ikii,1,C,none,140.67000000000002,140.67000000000002,K,ikiich,ikiich too xuriha,IH0,IY1,104.82500000000002,140.67000000000002,124.42700000000002,2024.354,2,1593.806,5,430.548,1,1948.013,i,k,ii,i,i
VS-34a_45.mat,ikii,1,V2,none,124.42700000000002,124.42700000000002,IY1,ikiich,ikiich too xuriha,K,CH,104.82500000000002,140.67000000000002,124.42700000000002,2024.354,2,1593.806,5,430.548,1,1999.976,i,k,ii,i,i
VS-35b_08.mat,iki,2,V1,none,103.65500000000004,103.65500000000004,IH0,nayikiha,ta nayikiha,Y,K,103.65500000000004,230.21900000000005,112.4559999999999,2249.223,4,2001.5,1,247.72299999999996,1,2016.947,i,k,i,i,i
VS-35b_08.mat,iki,2,C,none,230.21900000000005,230.21900000000005,K,nayikiha,ta nayikiha,IH0,IH0,103.65500000000004,230.21900000000005,112.4559999999999,2249.223,4,2001.5,1,247.72299999999996,1,2213.956,i,k,i,i,i
VS-35b_08.mat,iki,2,V2,none,112.4559999999999,112.4559999999999,IH0,nayikiha,ta nayikiha,K,HH,103.65500000000004,230.21900000000005,112.4559999999999,2249.223,4,2001.5,1,247.72299999999996,1,2001.5,i,k,i,i,i
VS-35b_16.mat,iki,3,V1,none,79.83999999999992,79.83999999999992,IH0,nayikiha,vura uum puxich ta nayikiha,Y,K,79.83999999999992,219.884,93.39399999999999,2177.475,5,2003.069,1,174.40599999999995,1,2151.568,i,k,i,i,i
VS-35b_16.mat,iki,3,C,none,219.884,219.884,K,nayikiha,vura uum puxich ta nayikiha,IH0,IH0,79.83999999999992,219.884,93.39399999999999,2177.475,5,2003.069,1,174.40599999999995,1,1941.677,i,k,i,i,i
VS-35b_16.mat,iki,3,V2,none,93.39399999999999,93.39399999999999,IH0,nayikiha,vura uum puxich ta nayikiha,K,HH,79.83999999999992,219.884,93.39399999999999,2177.475,5,2003.069,1,174.40599999999995,1,2003.069,i,k,i,i,i
VS-35b_37.mat,iiki,4,V1,none,146.56999999999994,146.56999999999994,IY1,tukeevniikichha,tukeevniikichha,N,K,146.56999999999994,132.13300000000004,65.76999999999998,2120.061,5,1604.329,3,515.7320000000002,1,1888.962,ii,k,i,i,i
VS-35b_37.mat,iiki,4,C,none,132.13300000000004,132.13300000000004,K,tukeevniikichha,tukeevniikichha,IY1,IH0,146.56999999999994,132.13300000000004,65.76999999999998,2120.061,5,1604.329,3,515.7320000000002,1,1395.8339999999996,ii,k,i,i,i
VS-35b_37.mat,iiki,4,V2,none,65.76999999999998,65.76999999999998,IH0,tukeevniikichha,tukeevniikichha,K,CH,146.56999999999994,132.13300000000004,65.76999999999998,2120.061,5,1604.329,3,515.7320000000002,1,1709.247,ii,k,i,i,i
VS-37_16.mat,ikii,5,V1,none,59.63200000000001,59.63200000000001,IH0,pananikiit,pananikiit iin neepsharavrikeesh,N,K,59.63200000000001,138.825,129.69400000000007,2194.893,3,1953.852,1,241.04099999999994,1,2056.771,i,k,ii,i,i
VS-37_16.mat,ikii,5,C,none,138.825,138.825,K,pananikiit,pananikiit iin neepsharavrikeesh,IH0,IY1,59.63200000000001,138.825,129.69400000000007,2194.893,3,1953.852,1,241.04099999999994,1,1986.12,i,k,ii,i,i
VS-37_16.mat,ikii,5,V2,none,129.69400000000007,129.69400000000007,IY1,pananikiit,pananikiit iin neepsharavrikeesh,K,T,59.63200000000001,138.825,129.69400000000007,2194.893,3,1953.852,1,241.04099999999994,1,1953.852,i,k,ii,i,i
VS-38_02.mat,iki,6,V1,none,104.25700000000006,104.25700000000006,IH0,pamisikih,hooy pamisikih,SH,K,104.25700000000006,252.41799999999992,98.10100000000013,2310.632,5,2007.753,1,302.87900000000013,1,1827.272,i,k,i,i,i
VS-38_02.mat,iki,6,C,none,252.41799999999992,252.41799999999992,K,pamisikih,hooy pamisikih,IH0,IH0,104.25700000000006,252.41799999999992,98.10100000000013,2310.632,5,2007.753,1,302.87900000000013,1,2209.777,i,k,i,i,i
VS-38_02.mat,iki,6,V2,none,98.10100000000013,98.10100000000013,IH0,pamisikih,hooy pamisikih,K,HH,104.25700000000006,252.41799999999992,98.10100000000013,2310.632,5,2007.753,1,302.87900000000013,1,2007.753,i,k,i,i,i
