Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF0_means006	pF0_means007	pF0_means008	pF0_means009	pF0_means010	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF1_means006	pF1_means007	pF1_means008	pF1_means009	pF1_means010	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF2_means006	pF2_means007	pF2_means008	pF2_means009	pF2_means010	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	pF3_means006	pF3_means007	pF3_means008	pF3_means009	pF3_means010	
VS-34a_07.mat	"K"	2760.000	2840.000	0	0	0	0	0	0	0	0	0	0	0	881.014	776.111	755.140	728.277	776.242	1124.556	1140.208	1061.092	1090.346	572.988	787.050	2187.361	1643.259	2109.225	1770.898	2223.927	2684.412	2767.735	2711.209	2535.389	1821.764	1773.302	3396.428	3166.942	3594.045	3117.161	3302.198	4106.458	4053.428	3887.546	3528.349	2885.825	2471.498	
VS-34a_07.mat	"IH0"	2840.000	2990.000	164.572	224.324	214.338	193.955	192.221	188.323	178.332	123.381	88.535	88.907	88.907	392.327	815.210	324.138	363.711	380.022	370.502	382.432	342.258	301.398	288.979	323.572	1802.061	1997.899	2076.075	2073.472	2044.035	1215.663	1274.417	1691.521	1899.230	1862.426	1890.409	2770.489	2645.943	2848.151	2878.449	3268.735	2568.707	2240.438	2554.125	2873.776	2892.332	2955.362	
VS-34a_17.mat	"pu"	1220.000	1478.435	183.008	150.136	151.140	151.140	151.140	151.140	151.140	224.695	215.691	197.757	192.251	446.061	173.254	289.060	328.322	340.912	559.868	1158.683	460.674	383.712	391.017	388.758	1464.995	1165.212	1400.405	1682.591	1796.251	1823.210	2251.884	1833.449	1066.473	844.840	867.661	2796.440	2689.505	2622.103	2941.273	2894.933	3088.875	3241.535	2810.210	2639.521	2538.510	2539.407	
VS-34a_17.mat	"P"	1220.000	1405.078	157.683	150.691	149.270	153.333	153.333	153.333	153.333	153.333	153.333	153.333	222.644	470.983	158.894	247.462	307.273	328.648	337.551	349.007	685.506	1257.140	709.675	365.724	1706.947	1054.727	1378.491	1463.888	1634.607	1758.264	1837.342	1867.447	2304.409	1933.819	1866.140	2911.513	2735.294	2596.502	2642.178	2951.909	3008.563	2894.599	3136.206	3496.858	2735.684	2953.228	
VS-34a_17.mat	"UH0"	1405.078	1478.435	200.986	225.174	213.617	204.906	200.828	198.139	196.010	194.211	192.801	191.779	191.383	381.437	333.710	370.178	383.968	394.841	394.623	387.209	385.013	375.288	355.529	430.164	846.279	800.743	836.804	835.919	844.216	840.940	844.163	854.835	843.202	838.850	921.327	2503.174	2414.694	2379.422	2474.297	2441.855	2544.064	2594.784	2596.650	2541.787	2473.346	2565.783	
VS-34a_19.mat	"pu"	2990.000	3106.335	193.291	193.291	193.291	193.291	193.291	193.291	193.291	193.291	193.291	200.142	189.336	867.397	898.882	678.775	1437.077	1249.860	880.639	1052.447	671.003	535.060	903.163	359.046	1969.800	1951.078	1656.721	2724.463	2334.641	1836.830	2208.024	1622.627	1346.811	2233.134	1802.457	3205.504	3200.797	2933.305	3797.528	3408.515	3132.104	3479.654	2967.196	2821.216	3515.338	2839.583	
VS-34a_19.mat	"P"	2990.000	3064.406	0	0	0	0	0	0	0	0	0	0	0	1021.172	1036.601	631.615	632.193	1409.274	1451.480	1282.426	838.079	991.909	1103.661	821.759	2125.563	2208.536	1513.594	1605.805	2753.003	2654.739	2350.954	1836.565	1949.972	2233.835	2147.788	3331.883	3507.129	2715.710	2900.997	3794.240	3764.752	3364.119	3207.256	3153.319	3486.286	3430.378	
VS-34a_19.mat	"UH0"	3064.406	3106.335	193.291	193.291	193.291	193.291	193.291	193.291	204.989	200.443	192.427	188.881	188.274	596.083	655.768	528.147	497.704	340.363	883.651	921.503	833.730	659.730	270.130	226.748	1703.291	1436.170	1136.972	1124.640	1099.361	2263.905	2238.403	2096.857	2096.327	1674.620	1734.189	2990.655	2807.500	2571.923	2662.013	2667.367	3494.507	3494.848	3448.988	3525.409	2720.596	2409.356	
VS-34a_20.mat	"pu"	2497.922	2644.624	183.827	183.827	183.827	183.827	183.827	183.827	183.827	209.810	183.894	175.538	168.664	512.715	424.052	452.015	571.532	502.757	816.309	630.421	383.078	403.886	452.571	480.415	1476.998	1867.513	2019.070	2049.184	1811.931	2044.328	1452.171	831.082	870.371	873.376	963.044	2770.483	2906.269	3060.993	3196.165	2796.693	3179.964	3154.732	2438.851	2326.323	2352.857	2352.875	
VS-34a_20.mat	"P"	2497.922	2587.713	227.037	227.037	227.037	227.037	227.037	227.037	227.037	227.037	227.037	227.037	227.037	562.098	445.164	401.615	473.679	596.364	512.595	566.122	574.472	908.799	832.030	386.424	1844.946	1702.990	2126.146	2096.035	1934.248	2090.755	1892.646	1765.761	2141.513	2004.534	803.879	3031.286	2687.002	3188.764	3061.269	3065.343	3206.763	2857.537	2834.787	3242.199	3610.083	2560.027	
