Filename,seq,seq_id,Label,part,word,sentence,before,after,dur_mod,seg_Start,seg_End,pF0_mean,pF0_means001,pF0_means002,pF0_means003,pF0_means004,pF0_means005,pF0_means006,pF0_means007,pF0_means008,pF0_means009,pF0_means010,pF0_means011,pF0_means012,pF0_means013,pF0_means014,pF0_means015,pF0_means016,pF0_means017,pF0_means018,pF0_means019,pF0_means020,pF1_mean,pF1_means001,pF1_means002,pF1_means003,pF1_means004,pF1_means005,pF1_means006,pF1_means007,pF1_means008,pF1_means009,pF1_means010,pF1_means011,pF1_means012,pF1_means013,pF1_means014,pF1_means015,pF1_means016,pF1_means017,pF1_means018,pF1_means019,pF1_means020,pF2_mean,pF2_means001,pF2_means002,pF2_means003,pF2_means004,pF2_means005,pF2_means006,pF2_means007,pF2_means008,pF2_means009,pF2_means010,pF2_means011,pF2_means012,pF2_means013,pF2_means014,pF2_means015,pF2_means016,pF2_means017,pF2_means018,pF2_means019,pF2_means020,pF3_mean,pF3_means001,pF3_means002,pF3_means003,pF3_means004,pF3_means005,pF3_means006,pF3_means007,pF3_means008,pF3_means009,pF3_means010,pF3_means011,pF3_means012,pF3_means013,pF3_means014,pF3_means015,pF3_means016,pF3_means017,pF3_means018,pF3_means019,pF3_means020,dur,issue
karuk-2012-10-20-vs-4_D_49.mat,kii,145,IY1,V,kiipiyukukuhsuroo,kiipiyukukuhsuroo,K,P,111.35599999999997,203.477,314.83299999999997,203.267,215.27,218.378,211.93599999999998,206.22299999999998,204.308,202.82299999999998,199.071,195.378,194.66299999999998,194.915,195.888,198.364,200.585,201.78,202.827,203.91299999999998,204.472,204.475,204.34099999999998,203.88099999999997,359.852,266.617,290.089,327.798,347.54699999999997,350.529,362.306,364.86199999999997,368.039,374.116,378.777,381.67,385.15,386.527,385.606,384.647,382.44,378.394,373.04699999999997,367.20599999999996,360.291,2179.7470000000003,2127.27,2202.107,2204.284,2203.276,2203.521,2202.9339999999997,2200.694,2205.262,2212.065,2214.652,2201.808,2211.374,2229.0170000000003,2252.158,2254.215,2241.8070000000002,2228.98,2197.0820000000003,2017.021,1825.0970000000002,2736.765,2748.796,2931.9109999999996,2860.955,2806.4,2822.0820000000003,2786.152,2776.935,2807.545,2860.103,2805.594,2753.062,2779.7209999999995,2767.2990000000004,2737.5440000000003,2744.545,2760.292,2691.1890000000003,2495.026,2356.254,2362.911,111.35599999999997,none
karuk-2012-10-20-vs-4_D_50.mat,kii,146,K,C,kiikpishnakarishukva,kiikpishnakarishukva pamikunsaanva,sil,IY1,43.644000000000005,110.0,153.644,193.831,193.831,193.831,193.831,193.831,193.831,193.831,193.831,193.831,193.831,193.831,193.831,193.831,193.831,193.831,193.831,185.423,187.412,190.468,196.283,201.24400000000003,1027.486,1312.38,1245.221,1231.254,1283.29,1352.72,1406.662,1434.5410000000002,1450.489,1470.9879999999998,1507.086,1548.3570000000002,1611.797,1706.892,970.862,195.64,204.139,206.93200000000002,210.135,214.305,219.08700000000002,2408.223,2195.8779999999997,2243.323,2323.078,2434.958,2552.159,2681.191,2815.903,2964.616,3116.3909999999996,3064.027,2999.808,2998.317,3001.454,2391.5460000000003,1761.965,1733.859,1751.33,1778.156,1782.861,1789.82,3349.804,3862.5690000000004,3833.7490000000003,3815.022,3786.937,3750.907,3700.901,3632.0570000000002,3513.545,3277.764,3484.095,3739.317,3808.5209999999997,3838.887,3402.3320000000003,2910.704,2846.506,2731.9709999999995,2555.742,2442.576,2416.562,43.644000000000005,none
karuk-2012-10-20-vs-4_D_50.mat,kii,146,IY1,V,kiikpishnakarishukva,kiikpishnakarishukva pamikunsaanva,K,K,127.07299999999998,153.644,280.717,183.21900000000002,203.988,202.672,193.392,188.00599999999997,183.30900000000003,180.859,180.058,180.155,180.62900000000002,181.257,181.831,182.062,182.291,182.044,181.32,179.468,176.19299999999998,175.146,174.877,175.91400000000002,298.462,219.045,223.294,242.11,266.562,285.336,304.606,318.619,325.627,330.73900000000003,335.167,337.087,335.66,331.926,328.467,330.164,327.154,309.931,290.566,277.408,257.101,2143.056,1791.192,1811.723,2070.845,2145.805,2156.976,2149.3089999999997,2146.735,2154.11,2149.509,2132.681,2127.05,2162.905,2178.014,2178.555,2200.501,2222.53,2228.425,2254.123,2274.7929999999997,2297.42,2589.6620000000003,2387.429,2326.779,2379.281,2544.06,2566.185,2641.695,2629.139,2616.215,2673.0229999999997,2704.533,2708.8459999999995,2686.442,2679.93,2661.6220000000003,2644.99,2664.531,2579.906,2508.873,2553.741,2625.191,127.07299999999998,none
karuk-2012-10-20-vs-4_D_52.mat,kii,147,K,C,kiikviithinaa,kiikviithinaa,sil,IY1,68.476,280.0,348.476,198.09,198.09,198.09,198.09,198.09,198.09,198.09,198.09,198.09,198.09,198.09,198.09,198.09,198.09,198.09,198.09,198.09,198.09,198.09,193.28900000000002,198.09,743.052,1051.238,986.443,963.135,946.716,869.1010000000001,782.3639999999999,797.403,847.306,851.778,816.3789999999999,781.74,751.627,756.67,815.33,707.75,673.508,598.961,337.591,251.578,247.563,2018.6029999999998,2029.181,2074.821,2050.124,1942.523,1799.3110000000001,1799.1989999999998,1866.266,1920.565,1954.4679999999998,1940.2879999999998,1933.445,1954.9579999999999,2213.631,2523.506,2501.044,2199.701,1936.17,1784.289,1925.1870000000001,2081.922,2825.821,2890.8790000000004,3089.034,3198.9429999999998,3012.777,2871.2209999999995,2855.033,2765.3779999999997,2594.4339999999997,2581.95,2570.907,2563.7,2564.114,2662.0840000000003,3064.43,2850.1690000000003,2899.599,2891.702,2865.349,2861.7059999999997,2913.119,68.476,none
karuk-2012-10-20-vs-4_D_52.mat,kii,147,IY1,V,kiikviithinaa,kiikviithinaa,K,K,122.96200000000005,348.476,471.43800000000005,189.229,217.924,208.049,194.66,188.554,182.32299999999998,179.32,179.61900000000003,181.42700000000002,184.642,187.928,189.394,189.44400000000002,189.489,189.49200000000002,189.89700000000002,189.24200000000002,188.016,186.42700000000002,183.88299999999998,181.40599999999998,318.55400000000003,265.942,300.139,319.462,331.832,338.93699999999995,340.846,340.189,336.80300000000005,346.08099999999996,349.07,344.858,340.226,336.11,335.663,329.339,313.983,294.289,287.269,275.06,258.399,2207.248,2170.236,2159.4339999999997,2155.803,2147.612,2136.243,2143.3179999999998,2157.9970000000003,2165.342,2152.382,2166.654,2166.44,2169.4629999999997,2214.361,2249.327,2256.538,2269.297,2278.143,2305.641,2328.24,2349.502,2887.2990000000004,2997.573,2985.663,2956.05,2846.5959999999995,2884.039,2922.6859999999997,2941.7690000000002,2909.711,2854.758,2861.052,2863.183,2899.6420000000003,2895.93,2889.53,2870.683,2862.4,2824.185,2820.143,2831.455,2800.4040000000005,122.96200000000005,none
karuk-2013-01-27-vs-1_B_05.mat,pu,148,P,C,punaqaapunmutihara,punaqaapunmutihara,sil,UH0,75.52699999999993,550.0,625.5269999999999,202.233,202.233,202.233,202.233,202.233,202.233,202.233,202.233,202.233,202.233,202.233,202.233,202.233,202.233,202.233,202.233,202.233,202.233,188.878,197.55,210.831,662.2660000000001,696.315,639.07,616.94,634.5930000000001,633.4580000000001,546.49,471.50699999999995,635.183,820.1619999999999,962.6039999999999,875.852,566.0,393.917,665.7860000000001,962.617,966.2,944.807,521.6669999999999,358.2,364.12,1748.905,1640.335,1663.9620000000002,1646.8529999999998,1681.174,1756.267,1739.463,1697.7420000000002,1711.4070000000002,1731.8,1969.9170000000001,2170.2960000000003,2076.728,1926.1970000000001,1900.685,2077.554,2048.7129999999997,2036.6329999999998,1924.8039999999999,1046.274,870.096,3040.3990000000003,2827.8920000000003,2893.47,2950.673,2849.033,2777.421,2836.7709999999997,2922.973,2989.078,3017.778,3178.889,3300.178,3202.283,2991.954,3078.482,3568.188,3564.248,3544.691,3079.6420000000003,2608.2070000000003,2837.7059999999997,75.52699999999993,none
karuk-2013-01-27-vs-1_B_05.mat,pu,148,UH0,V,punaqaapunmutihara,punaqaapunmutihara,P,N,73.22900000000016,625.5269999999999,698.7560000000001,168.7,216.053,188.05,174.05900000000003,161.965,160.662,160.306,160.81,161.241,161.303,161.924,162.85399999999998,164.09400000000002,165.083,166.38299999999998,166.90900000000002,167.542,168.043,168.375,168.69400000000002,168.42700000000002,469.505,407.978,439.23900000000003,456.506,463.81199999999995,462.37300000000005,462.236,466.852,473.204,476.735,479.805,484.69599999999997,490.75300000000004,498.23,508.097,516.612,510.37800000000004,483.286,455.684,439.05699999999996,426.707,1056.3,907.564,928.572,947.742,966.0110000000001,974.1610000000001,977.329,981.4780000000001,987.688,1004.169,1029.969,1045.733,1066.447,1108.039,1151.465,1172.876,1177.853,1175.737,1171.356,1167.519,1159.48,2708.3059999999996,3067.449,3038.1009999999997,2890.302,2822.5159999999996,2824.395,2840.494,2820.0490000000004,2671.7909999999997,2591.16,2666.04,2688.0429999999997,2671.2529999999997,2668.671,2677.1620000000003,2668.748,2650.816,2616.826,2544.907,2439.3,2370.732,73.22900000000016,none
karuk-2013-03-29-vs-4_44.mat,ki,149,K,C,kich,pananipusihich uum vura mahqiit kich uqaamtih,T,IH0,56.96900000000005,4080.0,4136.969,51.705,47.193999999999996,46.922,46.863,46.73,46.54,46.431000000000004,46.516000000000005,46.498999999999995,46.597,46.621,46.51,46.511,46.511,46.511,46.511,46.511,46.511,46.511,46.511,212.46900000000002,612.976,1286.594,1204.825,1193.694,1323.66,905.525,400.611,458.824,472.806,469.12,460.648,467.04900000000004,458.414,435.485,420.26599999999996,413.55300000000005,328.666,912.203,730.295,234.856,248.255,2110.448,2500.1620000000003,2395.2960000000003,2421.468,2588.124,2241.6420000000003,1896.729,1879.725,1769.441,1872.425,1861.149,1855.235,1920.933,1987.4879999999998,2020.12,2059.509,2213.42,2398.03,2304.183,2115.055,2027.509,2808.82,3166.619,3310.615,3358.305,3588.292,3152.8340000000003,2574.56,2548.276,2599.995,2742.789,2792.704,2784.2290000000003,2729.958,2630.9429999999998,2595.842,2619.644,2598.294,2998.302,2871.216,2533.95,2499.2929999999997,56.96900000000005,none
karuk-2013-03-29-vs-4_44.mat,ki,149,IH0,V,kich,pananipusihich uum vura mahqiit kich uqaamtih,K,CH,39.914999999999964,4136.969,4176.884,187.06,213.96599999999998,216.771,216.53400000000002,216.706,217.217,208.605,198.91400000000002,197.019,193.05700000000002,191.96400000000003,189.363,180.78599999999997,172.987,169.203,164.571,161.549,161.012,158.93200000000002,157.664,156.976,324.695,253.972,261.834,272.165,284.381,297.137,309.606,321.298,331.805,337.91900000000004,339.249,340.634,343.94199999999995,347.92199999999997,351.376,353.733,355.345,356.048,354.939,351.221,343.795,2085.325,2080.7,2271.855,2254.7070000000003,2198.2889999999998,2166.4539999999997,2145.764,2123.389,2092.907,2066.23,2054.502,2051.744,2051.657,2050.7329999999997,2047.3020000000001,2041.13,2032.1589999999999,2020.0379999999998,2007.251,1997.33,1988.162,2552.409,2435.859,2515.4139999999998,2640.305,2628.8109999999997,2609.771,2597.8289999999997,2579.379,2550.871,2529.377,2522.819,2523.516,2527.0460000000003,2531.738,2536.263,2538.785,2537.935,2533.196,2531.324,2551.132,2618.7870000000003,39.914999999999964,none
karuk-2013-10-27-vs-2_06.mat,kii,150,K,C,kiiha,kiiha pachivchakar,sil,IY1,47.468000000000075,530.0,577.4680000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.324,423.42699999999996,779.5039999999999,966.336,927.4069999999999,640.69,439.925,426.75,379.84,1435.1989999999998,1602.759,1316.0539999999999,1156.701,676.38,475.165,411.024,334.295,306.974,305.003,313.464,329.28,2085.494,1840.0970000000002,2015.7,2093.178,2107.9539999999997,2077.052,1940.92,1926.1029999999998,1946.979,2189.94,2103.752,2124.877,2086.915,2033.239,1999.629,2038.599,2180.3089999999997,2236.6479999999997,2249.949,2257.044,2261.493,3002.289,2754.925,3317.2859999999996,3272.5570000000002,3233.136,2799.8959999999997,2463.6020000000003,2536.4120000000003,2559.876,3160.387,3141.764,3344.6929999999998,3357.038,3346.413,3227.1279999999997,2912.8509999999997,2734.712,3009.4040000000005,3116.785,2924.486,2729.488,47.468000000000075,none
