Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	
karuk-2011-12-21-vs-8_17.mat	"UH0"	961.000	1012.077	192.262	223.756	190.548	184.992	181.702	179.062	474.229	444.005	487.940	506.321	500.462	435.752	1116.785	1076.780	1122.431	1158.878	1140.666	1085.051	2610.553	2712.076	2726.723	2625.349	2456.962	2528.918	
karuk-2011-12-21-vs-8_18.mat	"pu"	336.793	436.819	178.556	160.847	160.847	160.847	209.483	179.705	519.428	570.100	661.484	513.578	366.631	494.434	1539.775	1627.805	1957.664	1941.376	1100.549	1095.633	2854.677	3236.360	3362.736	3080.551	2482.470	2126.993	
karuk-2011-12-21-vs-8_18.mat	"P"	336.793	408.127	160.847	160.702	163.028	163.028	163.028	163.028	541.495	487.109	770.668	553.300	519.114	379.740	1731.493	1272.975	2449.779	1554.033	2071.365	1350.461	3132.643	3016.041	3709.744	3085.771	3150.243	2719.066	
karuk-2011-12-21-vs-8_18.mat	"UH0"	408.127	436.819	188.327	214.221	198.867	181.888	176.081	174.070	460.009	368.197	428.536	453.816	460.925	577.112	1060.302	972.766	998.527	1011.543	1030.298	1253.297	2172.726	2299.412	2167.670	1993.825	1801.127	2465.903	
karuk-2011-12-21-vs-8_24.mat	"pu"	630.000	766.369	223.452	152.918	166.292	263.021	350.245	193.923	623.392	587.435	703.961	833.015	527.031	471.925	1129.801	1197.074	1154.817	1217.482	1057.472	1025.214	2901.502	3039.056	2947.680	2975.328	3000.165	2551.174	
karuk-2011-12-21-vs-8_24.mat	"P"	630.000	732.120	231.490	148.711	165.869	166.455	289.375	394.423	678.659	557.825	661.816	766.297	835.839	574.508	1167.496	1174.899	1205.323	1143.940	1227.643	1086.967	2989.848	3039.728	2931.621	3017.231	2959.296	3004.979	
karuk-2011-12-21-vs-8_24.mat	"UH0"	732.120	766.369	200.137	224.431	209.457	194.811	186.296	182.598	453.274	381.740	424.186	465.711	495.452	509.389	1015.353	973.696	964.487	981.525	1027.784	1135.715	2648.452	3005.564	2707.924	2577.918	2478.889	2415.270	
karuk-2011-12-21-vs-8_31.mat	"pu"	840.000	1048.312	112.897	109.756	50.298	50.298	50.298	192.297	619.719	424.438	702.363	668.783	838.669	472.347	1515.667	1033.451	1500.728	1802.964	2038.072	1211.042	3052.675	3216.731	3256.839	3015.012	3087.965	2697.011	
karuk-2011-12-21-vs-8_31.mat	"P"	840.000	1017.974	84.567	121.249	50.293	50.356	50.356	230.843	644.511	419.178	638.713	750.450	647.777	768.771	1596.297	1039.060	1200.997	1937.979	1894.990	1923.139	3138.028	3222.918	3210.100	3160.403	3014.149	3088.464	
karuk-2011-12-21-vs-8_31.mat	"UH0"	1017.974	1048.312	189.854	226.342	198.305	175.935	174.489	173.121	467.953	388.083	467.229	495.306	498.832	497.874	1029.731	938.084	1005.953	1035.802	1075.067	1098.688	2545.141	2437.148	2486.163	2605.569	2599.679	2595.660	
