audio,transcription,transcription_mfa,speaker,matched_words,sequences,issues
VS-34a_52,papusihich uum pufaat pamu'apvuuy.,papusihich uum pufaat pamuqapvuuy,VS,pufaat,pu,none
VS-34a_54,pufaat pamu'apvuuy.,pufaat pamuqapvuuy,VS,pufaat,pu,left part cut off
VS-34a_55,pufaat pamu'apsiih.,pufaat pamuqapsiih,VS,pufaat,pu,none
VS-34a_59,peekrivraam uum pufaat pachivchakar.,peekrivraam uum pufaat pachivchakar,VS,pufaat,pu,none
VS-34a_60,uum pufaat pachivchakar.,uum pufaat pachivchakar,VS,pufaat,pu,none
VS-34a_61,peekrivraam pufaat chivchakar.,peekrivraam pufaat chivchakar,VS,pufaat,pu,none
VS-34b_03,"puuhara, papusihich ip taay tu'avat.",puuhara papusihich ip taay tuqavat,VS,puuhara,puu,none
VS-34b_04,"papusihich vura uum too xuriha, vura uum taay u'aveesh.",papusihich vura uum too xuriha vura uum taay uqaveesh,VS,xuriha,xu,none
VS-34b_05,too xuriha.,too xuriha,VS,xuriha,xu,none
VS-34b_07,pusihich vura uum puxich too kviit-ha.,pusihich vura uum puxich too kviitha,VS,pusihich,pu,none
VS-35a_01,pusihich ikrivkir ukuuntakoo.,pusihich ikrivkir ukuuntakoo,VS,pusihich,pu,none
VS-35a_19,koovura kiikriishrih!,koovura kiikriishrih,VS,kiikriishrih,kii,none
VS-35a_30,koovura kiihyarihship!,koovura kiihyarihship,VS,kiihyarihship,kii,none
VS-35a_41,puuhara papusihich uum asimnaam ukrii,puuhara papusihich uum asimnaam ukrii,VS,puuhara,puu,none
VS-35a_43,puuhara iinaak nihyarih.,puuhara iinaak nihyarih,VS,puuhara,puu,none
VS-35a_45,"puuhara, naa asak nihyarih.",puuhara naa asak nihyarih,VS,puuhara,puu,none
VS-35b_20,puuhara naa puneekvii-hitihara.,puuhara naa puneekviihitihara,VS,"puuhara,puneekviihitihara","puu,pu",none
VS-36_01,koovura iin kinimuustiheesh.,koovura iin kinimuustiheesh,VS,kinimuustiheesh,ki,none
VS-36_03,koovura kiimuustiheesh.,koovura kiimuustiheesh,VS,kiimuustiheesh,kii,none
VS-36_04,iimkun koovura kiimuustiheesh.,iimkun koovura kiimuustiheesh,VS,kiimuustiheesh,kii,none
VS-36_16,xayfaat kinchuphunishkoo!,xayfaat kinchuphunishkoo,VS,kinchuphunishkoo,ki,none
VS-41_05,huut kich pamitunviiv?,huut kich pamitunviiv,VS,kich,ki,none
VS-41_06,huut kich pami'aramah?,huut kich pamiqaramah,VS,kich,ki,none
