Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF0_means006	pF0_means007	pF0_means008	pF0_means009	pF0_means010	pF0_means011	pF0_means012	pF0_means013	pF0_means014	pF0_means015	pF0_means016	pF0_means017	pF0_means018	pF0_means019	pF0_means020	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF1_means006	pF1_means007	pF1_means008	pF1_means009	pF1_means010	pF1_means011	pF1_means012	pF1_means013	pF1_means014	pF1_means015	pF1_means016	pF1_means017	pF1_means018	pF1_means019	pF1_means020	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF2_means006	pF2_means007	pF2_means008	pF2_means009	pF2_means010	pF2_means011	pF2_means012	pF2_means013	pF2_means014	pF2_means015	pF2_means016	pF2_means017	pF2_means018	pF2_means019	pF2_means020	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	pF3_means006	pF3_means007	pF3_means008	pF3_means009	pF3_means010	pF3_means011	pF3_means012	pF3_means013	pF3_means014	pF3_means015	pF3_means016	pF3_means017	pF3_means018	pF3_means019	pF3_means020	
karuk-2012-10-20-vs-4_C_06.mat	"pu"	0.000	91.545	207.184	207.184	207.184	207.184	207.184	207.184	207.184	207.184	207.184	207.184	207.184	207.184	203.332	208.937	217.340	213.824	209.414	206.410	204.395	202.351	198.874	471.482	471.482	471.482	471.482	471.482	471.482	600.311	626.953	709.808	828.857	844.199	740.354	303.471	331.100	347.502	357.345	356.936	347.790	326.420	300.805	272.316	1708.558	1708.558	1708.558	1708.558	1708.558	1708.558	1566.242	1624.350	1694.263	1664.658	1670.770	1923.591	1588.193	1701.533	1726.955	1723.124	1737.927	1775.413	1795.171	1774.279	1746.567	2648.789	2648.789	2648.789	2648.789	2648.789	2648.789	2690.821	2650.657	2569.731	2525.575	2770.364	3215.986	2640.706	2682.743	2557.008	2475.517	2482.647	2517.102	2581.199	2713.579	2819.690	
karuk-2012-10-20-vs-4_C_06.mat	"P"	0.000	56.072	203.627	203.627	203.627	203.627	203.627	203.627	203.627	203.627	203.627	203.627	203.627	203.627	203.627	203.627	203.627	203.627	203.627	203.627	203.627	205.132	203.627	632.454	632.454	632.454	632.454	632.454	632.454	632.454	632.454	632.454	597.464	603.836	626.150	662.658	720.186	791.466	859.370	689.258	872.835	268.873	298.769	313.175	1661.778	1661.778	1661.778	1661.778	1661.778	1661.778	1661.778	1661.778	1661.778	1564.382	1571.418	1623.835	1683.152	1698.788	1689.681	1621.887	1468.188	2006.337	1499.651	1556.699	1647.920	2693.313	2693.313	2693.313	2693.313	2693.313	2693.313	2693.313	2693.313	2693.313	2693.907	2686.333	2651.972	2601.263	2558.996	2535.708	2515.924	2506.102	3324.141	2638.248	2636.394	2654.191	
karuk-2012-10-20-vs-4_C_06.mat	"UH0"	56.072	91.545	207.496	208.448	212.704	217.987	218.355	215.545	214.544	213.757	211.334	209.285	208.022	206.340	205.815	205.327	204.255	203.750	203.202	201.947	200.897	198.916	197.823	328.252	329.303	339.226	344.161	347.520	352.121	357.102	359.883	359.923	357.031	353.431	350.229	346.078	338.440	326.329	314.495	306.182	298.093	287.155	275.278	263.255	1748.399	1699.453	1719.202	1726.857	1728.023	1725.189	1721.981	1721.823	1725.830	1736.896	1753.893	1772.569	1784.653	1792.394	1796.604	1792.216	1783.320	1770.419	1754.739	1745.356	1743.980	2611.742	2707.733	2669.660	2610.087	2552.579	2498.313	2472.957	2467.546	2471.434	2482.215	2495.916	2511.456	2525.101	2543.213	2577.867	2631.724	2682.948	2733.320	2784.971	2817.691	2836.083	
karuk-2012-10-20-vs-4_C_16.mat	"pu"	220.000	566.633	177.289	177.289	133.456	136.391	197.409	173.793	169.695	174.329	176.739	176.657	179.147	184.507	186.764	185.652	183.212	180.640	179.285	178.454	178.066	178.845	179.233	484.467	617.940	843.064	803.683	349.337	379.862	371.555	361.475	355.342	367.915	385.620	417.661	456.123	504.960	507.623	508.729	498.262	495.146	512.375	492.244	454.835	1147.405	1859.925	2148.865	1669.293	942.166	806.315	845.474	892.962	906.617	908.174	912.539	933.297	984.417	1059.826	1094.981	1098.897	1129.839	1170.016	1190.237	1190.137	1186.690	2698.397	3103.200	3162.405	2580.074	2461.971	2597.102	2700.333	2715.305	2705.580	2743.106	2759.978	2772.822	2793.419	2794.556	2819.432	2706.828	2569.328	2514.655	2448.038	2500.321	2502.398	
karuk-2012-10-20-vs-4_C_16.mat	"P"	220.000	279.478	145.077	145.077	145.077	145.077	145.077	145.077	145.077	145.077	145.077	145.077	132.096	132.563	134.728	136.019	136.630	136.724	136.717	136.717	136.717	201.851	202.726	701.230	600.649	595.475	601.449	613.651	634.450	673.252	603.730	593.875	813.168	977.035	1072.993	1130.257	1156.331	992.464	753.335	708.331	410.202	303.634	320.183	347.316	1791.682	1752.023	1760.112	1839.324	1916.740	1952.076	1977.400	1982.097	1998.376	2067.838	2217.826	2365.485	2383.965	2351.218	2058.113	1186.459	1261.384	1248.770	1213.553	1099.704	974.722	2895.519	2855.052	2929.688	3099.704	3203.447	3271.997	3355.133	3459.978	3472.692	3361.932	3029.485	2747.921	2718.889	2802.401	2674.909	2442.510	2477.553	2470.691	2460.543	2478.240	2523.295	
karuk-2012-10-20-vs-4_C_16.mat	"UH0"	279.478	566.633	179.724	191.250	171.203	169.601	173.695	176.437	176.764	176.848	179.893	184.448	186.729	186.317	184.626	182.455	180.428	179.323	178.688	178.018	178.354	179.029	179.235	439.028	370.963	381.264	371.577	362.384	356.865	357.012	376.152	387.024	417.744	446.876	486.189	514.050	506.775	508.529	498.994	491.605	510.101	503.961	490.757	447.329	1012.887	822.182	809.709	845.215	889.426	904.440	909.975	906.038	914.589	932.701	969.013	1032.380	1085.325	1095.999	1099.193	1127.379	1163.411	1183.693	1192.028	1192.955	1184.050	2656.914	2482.918	2624.210	2700.227	2718.330	2711.063	2697.633	2775.300	2753.734	2771.900	2793.934	2794.203	2802.851	2807.193	2695.855	2589.575	2500.804	2488.348	2442.103	2533.786	2484.308	
karuk-2012-10-20-vs-4_C_41.mat	"kii"	470.000	693.805	219.534	173.002	178.011	180.137	180.137	180.137	180.137	180.137	180.137	240.929	238.130	223.763	221.326	222.262	224.504	226.726	228.623	229.172	228.034	226.490	224.393	437.055	251.726	377.645	409.831	412.796	421.416	698.143	1070.267	925.301	431.937	286.172	327.128	358.406	369.370	370.773	366.553	362.364	354.828	339.380	316.222	295.837	1943.093	1651.564	1875.523	1559.121	1620.026	1882.677	1799.727	1735.893	2342.777	2023.358	1968.292	2022.290	2017.998	2011.835	2035.325	2056.734	2078.199	2087.474	2071.070	2054.967	2013.095	2749.190	2507.049	2856.095	2840.708	2785.110	2798.528	2559.744	2718.706	3294.106	3095.250	2674.069	2791.887	2736.862	2674.288	2754.285	2780.478	2782.340	2676.380	2604.573	2582.300	2489.006	
karuk-2012-10-20-vs-4_C_41.mat	"K"	470.000	567.671	184.939	172.601	172.952	175.531	178.889	180.118	180.118	180.118	180.118	180.118	180.118	180.118	180.118	180.118	180.118	180.118	180.118	180.118	180.118	180.118	239.071	561.312	249.676	252.231	324.792	407.577	404.777	405.777	416.227	419.697	408.480	402.915	424.382	473.148	640.953	933.269	1111.837	1037.949	918.881	921.365	793.226	275.898	1825.930	1446.002	1706.861	2280.589	1731.832	1438.803	1502.983	1660.327	1664.558	1557.912	1711.565	1961.158	1935.320	1797.360	1737.025	1739.731	1736.321	1763.621	2624.026	2530.694	1660.017	2829.037	2144.099	2735.138	2871.526	2851.461	2864.655	2809.422	2863.796	2818.101	2741.182	2864.430	2863.504	2484.472	2520.772	2679.455	2720.191	2719.022	2768.781	3577.858	3643.650	2892.262	
karuk-2012-10-20-vs-4_C_41.mat	"IY1"	567.671	693.805	227.035	244.304	236.500	226.663	222.184	221.371	221.327	222.115	223.288	224.506	225.787	227.011	228.142	228.976	229.222	228.969	228.026	227.152	226.406	225.330	223.975	339.023	286.261	283.271	308.262	338.612	354.588	364.131	369.371	371.419	371.121	368.471	366.062	363.449	361.435	356.764	349.278	339.625	327.311	314.010	301.520	293.507	2034.015	1910.871	1978.799	2013.198	2028.395	2019.467	2015.062	2008.306	2021.200	2035.419	2048.998	2057.966	2071.014	2084.148	2090.956	2080.289	2071.549	2061.268	2054.607	2038.901	2000.865	2687.907	2733.181	2651.353	2768.727	2801.182	2770.836	2686.792	2662.535	2721.194	2757.285	2770.497	2783.059	2789.441	2772.680	2696.221	2619.664	2601.566	2612.864	2577.295	2523.531	2474.184	
karuk-2012-10-20-vs-4_C_44.mat	"kii"	460.000	615.172	194.508	194.508	194.508	194.508	194.508	194.508	194.508	194.508	214.006	222.281	210.959	191.541	191.155	190.381	191.140	191.501	191.332	191.230	189.893	187.471	183.382	473.198	629.221	520.749	632.607	922.596	892.070	721.851	693.751	379.289	291.915	338.358	359.942	368.666	367.841	367.810	362.880	353.445	339.359	317.924	303.501	300.798	1994.449	1477.246	1574.849	1686.123	1935.698	1968.632	1821.444	1939.906	2173.604	2081.228	2020.400	2039.684	2072.714	2086.181	2096.543	2104.717	2111.194	2152.431	2175.807	2178.764	2206.774	2723.800	2673.725	2677.707	2805.869	2597.399	2524.790	2423.722	2509.456	2611.615	2808.921	2727.411	2737.696	2759.720	2790.404	2801.627	2809.704	2781.512	2778.840	2790.573	2855.552	2997.959	
