Filename,seq,seq_id,Label,part,seg_Start,seg_End,pF0_mean,pF0_means001,pF0_means002,pF0_means003,pF0_means004,pF0_means005,pF0_means006,pF0_means007,pF0_means008,pF0_means009,pF0_means010,pF0_means011,pF0_means012,pF0_means013,pF0_means014,pF0_means015,pF0_means016,pF0_means017,pF0_means018,pF0_means019,pF0_means020,pF1_mean,pF1_means001,pF1_means002,pF1_means003,pF1_means004,pF1_means005,pF1_means006,pF1_means007,pF1_means008,pF1_means009,pF1_means010,pF1_means011,pF1_means012,pF1_means013,pF1_means014,pF1_means015,pF1_means016,pF1_means017,pF1_means018,pF1_means019,pF1_means020,pF2_mean,pF2_means001,pF2_means002,pF2_means003,pF2_means004,pF2_means005,pF2_means006,pF2_means007,pF2_means008,pF2_means009,pF2_means010,pF2_means011,pF2_means012,pF2_means013,pF2_means014,pF2_means015,pF2_means016,pF2_means017,pF2_means018,pF2_means019,pF2_means020,pF3_mean,pF3_means001,pF3_means002,pF3_means003,pF3_means004,pF3_means005,pF3_means006,pF3_means007,pF3_means008,pF3_means009,pF3_means010,pF3_means011,pF3_means012,pF3_means013,pF3_means014,pF3_means015,pF3_means016,pF3_means017,pF3_means018,pF3_means019,pF3_means020,dur,before,after,word,issue,dur_mod,sentence
VS-24_05.mat,upi,4,P,C,911.822,1060.508,242.675,242.675,242.675,242.675,242.675,242.675,242.675,242.675,242.675,242.675,242.675,242.675,242.675,242.675,242.675,242.675,242.675,242.675,242.675,242.675,242.675,1183.126,1385.446,1286.058,1278.493,1436.3829999999996,1170.098,1327.615,1242.724,1235.55,1302.386,1125.305,1180.495,1036.2089999999996,543.112,1422.32,1272.859,1043.137,1000.108,1121.183,1211.184,981.413,2301.321,2209.14,2577.506,2712.978,2652.883,2483.385,2552.155,2386.563,2556.527,2772.656,2694.384,2426.438,2286.381,1879.807,2360.833,2430.82,1662.99,1761.083,1796.256,1923.225,1897.176,3268.079,3323.83,3344.277,3647.412,3705.538,3571.952,3512.715,3274.627,3576.264,3475.9120000000007,2953.488,3211.9970000000008,3070.213,3258.224,3635.175,3197.9790000000007,3025.823,2909.791,2876.657,2918.228,2897.485,148.68600000000004,UH0,IH0,tupithxah,V1 voiceless,148.68600000000004,vaa kaan tupithxah
VS-24_05.mat,upi,4,IH0,V2,1060.508,1114.939,209.153,243.081,241.465,234.031,229.778,225.306,218.435,213.361,208.69,207.08,204.595,203.192,201.348,199.694,198.266,196.83,195.715,193.967,192.468,190.561,188.764,305.808,267.913,273.293,283.232,295.775,312.327,334.11300000000006,349.737,354.675,354.043,350.2480000000001,343.642,332.057,313.475,291.335,274.603,267.967,273.567,281.991,285.784,282.026,1694.649,1511.619,1469.5279999999998,1441.558,1473.165,1558.708,1663.7120000000002,1724.939,1755.044,1776.457,1788.0120000000004,1784.253,1766.914,1730.441,1705.183,1706.491,1741.3370000000002,1821.542,1842.899,1817.337,1795.099,2367.154,2496.732,2422.212,2348.549,2308.92,2305.515,2332.0660000000007,2354.609,2362.249,2373.65,2396.205,2416.36,2433.456,2429.5660000000007,2294.905,2147.698,2157.803,2260.83,2375.792,2469.089,2560.01,54.43099999999981,P,TH,tupithxah,V1 voiceless,54.43099999999981,vaa kaan tupithxah
VS-24_07.mat,iika,5,IY1,V1,5498.45,5698.419,119.157,56.46100000000001,77.218,89.615,89.464,88.693,88.06299999999997,87.88,88.07700000000001,88.00299999999999,87.917,88.007,143.81799999999996,174.035,171.88099999999997,169.667,167.127,164.804,162.09,155.025,145.666,334.432,343.522,349.809,338.773,341.867,338.783,338.201,338.153,337.13199999999995,337.875,339.2030000000001,345.269,344.511,342.932,339.86,337.461,333.9190000000001,329.8040000000001,316.884,303.511,292.633,2317.253,2316.708,2328.224,2322.903,2311.284,2286.275,2298.189,2308.551,2318.334,2313.362,2352.301,2319.144,2302.868,2290.143,2318.492,2319.9,2303.8920000000007,2316.078,2353.155,2350.356,2323.736,2989.963,2867.871,2864.486,2953.597,2931.788,2934.667,2959.419000000001,2971.56,3004.4990000000007,3005.44,2972.293,2973.359000000001,2893.615,2779.532,2825.567,2879.156,2819.206,2785.225,2892.463,3703.767,3729.59,199.96900000000005,sp,K,iikam,,199.96900000000005,xas karu nuu aah nukyaati iikam
VS-24_07.mat,iika,5,K,C,5698.419,5815.899,138.58100000000002,140.134,137.09799999999998,138.179,138.179,138.179,138.179,138.179,138.179,138.179,138.179,138.179,138.179,138.179,138.179,138.179,138.179,138.179,138.179,138.179,138.179,547.16,294.643,307.394,335.286,346.162,333.094,318.789,310.663,317.308,333.654,343.456,266.925,274.101,535.1759999999998,756.937,744.365,749.3739999999998,691.373,1758.331,1497.017,303.721,2299.033,2379.404,2301.067,2331.919,2377.492,2342.823,2330.857,2305.193,2291.346,2006.858,2113.682,2202.273,2188.582000000001,2433.157,2454.712,2199.346,2135.842,2139.888,2680.275,2585.963,2068.931,2957.556,3704.414,3046.995,2533.205,2544.858,2854.318,3516.7470000000008,3111.636,2494.983,2563.39,2815.417,2786.385,2531.673,2931.574,2890.635,2870.66,2866.091,2825.262,3657.236,3546.505,2891.505,117.48000000000047,IY1,AH0,iikam,,117.48000000000047,xas karu nuu aah nukyaati iikam
VS-24_07.mat,iika,5,AH0,V2,5815.899,5884.808000000001,147.1,147.1,147.1,147.1,147.1,150.186,149.865,149.22299999999996,148.58100000000005,147.93200000000004,147.412,147.154,146.882,146.644,146.47,146.471,146.37,146.327,145.921,145.43200000000004,144.877,423.371,363.169,398.57,423.725,431.429,420.435,412.55,424.107,441.841,459.511,470.715,468.723,465.8,466.267,461.637,446.896,434.789,420.86800000000005,395.169,363.818,329.017,1536.979,2144.206,2127.386,2055.663,2009.78,1959.521,1903.805,1838.99,1755.392,1665.42,1595.965,1489.47,1399.8770000000004,1312.056,1189.076,1119.6989999999996,1100.277,1066.673,1001.89,978.283,1050.556,2516.854,2814.274000000001,2418.808,2400.778,2427.25,2446.084,2463.109,2463.1,2460.3,2470.228,2483.154,2486.666,2485.922,2492.18,2503.955,2513.303,2510.899,2509.108,2556.236,2675.955,2696.027,68.90900000000056,K,M,iikam,,68.90900000000056,xas karu nuu aah nukyaati iikam
VS-33_13.mat,iika,6,IY1,V1,163.84,376.206,142.101,259.558,274.512,279.918,295.717,293.746,293.746,293.746,293.746,88.772,88.43799999999997,89.18700000000003,91.215,92.817,93.143,93.109,92.86,92.505,91.687,90.027,88.02600000000002,383.51,335.32199999999995,335.0,771.37,1016.469,563.547,320.802,353.94699999999995,340.994,304.735,314.7870000000001,330.149,321.69,306.997,302.541,300.961,300.586,296.02,296.27,288.621,286.789,2306.856,1451.382,1391.419,1925.047,2901.907,2400.249,2432.827,2434.36,2222.197,2281.408,2328.885,2480.264,2527.918,2382.415,2409.7,2377.207000000001,2363.702,2445.272,2404.148,2448.083,2648.022,3069.0370000000007,2946.675,3110.9,3392.867,3573.258,3282.398,3338.197,3004.57,2918.558,3004.7990000000004,2928.583,3127.048,3027.074,2959.266,2984.836,2984.1540000000005,2963.798,2876.86,2945.5690000000004,2977.516,3095.525,212.366,sil,K,iikam,,212.366,iikam patas
VS-33_13.mat,iika,6,K,C,376.206,526.529,144.634,86.54899999999998,87.167,89.25399999999998,143.938,179.016,192.877,182.01,184.395,184.395,184.395,184.395,184.395,184.395,184.395,184.395,184.395,184.395,184.395,184.395,199.552,416.764,270.119,251.308,233.933,233.4,208.032,227.887,222.008,173.013,374.221,711.59,823.3530000000002,601.221,635.5880000000002,611.3480000000002,656.321,599.179,510.009,461.721,300.707,283.497,2373.214,2475.819,2374.075,2425.29,2494.873,2492.933,2504.905,2549.78,2551.411,2310.248,2438.846,2478.403,2347.1710000000007,2417.075,2501.886,2367.011,2293.643,2255.94,2168.405,2072.893,1976.558,2970.072,3039.706,3107.0490000000004,3067.454,3104.203,3052.7090000000007,2738.301,2672.869,2732.55,2898.86,3156.421,3061.182,2860.141,3031.591,3126.794000000001,3212.735,3221.1890000000008,3075.811,2789.925,2701.35,2785.119,150.32300000000004,IY1,AH0,iikam,,150.32300000000004,iikam patas
VS-33_13.mat,iika,6,AH0,V2,526.529,603.325,102.515,204.232,189.127,183.114,182.298,181.935,125.84,86.198,86.051,86.505,86.522,86.928,88.485,89.93299999999998,90.352,71.35600000000002,42.363,42.32899999999999,42.348,42.415,42.517,375.866,363.274,420.222,472.259,484.982,478.959,467.427,441.634,410.774,399.246,377.596,322.672,312.1020000000001,321.012,319.38,320.576,323.755,327.8769999999999,333.837,323.435,297.732,1331.188,1904.816,1832.703,1780.04,1656.088,1587.086,1597.664,1591.4070000000004,1505.934,1360.669,1248.094,1152.809,1168.76,1158.946,1154.83,1148.409,1081.249,968.545,935.698,923.787,907.776,2782.333,2720.49,2673.013,2661.718,2641.422,2658.769,2727.236,2787.608,2750.992,2703.739,2705.273,2728.014,2772.813,2841.881,2910.215,2899.89,2852.264,2846.981,2907.828,2937.697,2942.572,76.79600000000005,K,M,iikam,,76.79600000000005,iikam patas
VS-34a_02.mat,iika,7,IY1,V1,105.495,316.402,228.563,405.033,374.079,327.219,299.163,288.394,284.903,241.733,153.851,163.582,173.861,186.512,195.468,201.808,205.853,207.093,206.975,206.533,205.785,203.312,198.753,369.4,442.796,412.043,343.551,332.307,332.084,368.031,355.737,364.455,400.164,387.895,374.487,371.166,371.496,364.402,358.1690000000001,356.702,357.272,367.92800000000005,368.852,350.166,2045.897,1766.5379999999998,1688.849,1917.793,2018.928,1901.848,1923.854,2095.312,2060.7470000000008,2085.511,2075.39,2094.716,2101.299,2102.098,2101.961,2121.307,2148.694,2150.3920000000007,2181.165,2189.489,2223.381,2847.572,2699.044000000001,2863.962,2933.145,3031.455,3007.546,2996.4440000000004,2943.203,2801.136,2852.936,2841.58,2834.773,2835.152,2837.0170000000007,2808.923,2827.8520000000008,2808.007,2790.451,2800.807,2761.388,2701.518,210.907,sil,K,iikam,,210.907,iikam pufaat paqas
VS-34a_02.mat,iika,7,K,C,316.402,426.801,190.731,193.348,188.335,184.654,184.031,186.431,190.298,195.631,200.965,202.878,202.878,202.878,202.878,202.878,202.878,202.878,202.878,202.878,202.878,202.878,202.878,471.203,283.576,250.675,233.79,223.596,242.668,278.562,310.133,375.023,426.945,420.434,441.639,438.793,352.409,424.286,941.629,1027.276,967.85,736.117,638.067,510.401,2099.833,2342.336,2305.846,2267.764,2243.116,2200.79,2121.776,1777.904,1682.682,1805.964,1917.233,1814.858,1758.227,2014.432,2278.036,2342.561,2400.172,2392.279,2221.244,2138.112,1957.926,2565.39,2629.7470000000008,2589.636,2606.424,2742.03,2873.737,2514.1,2407.984,2396.101,2462.121,2478.087,2505.52,2524.023,2511.898,2509.483,2673.893,2617.002,2546.212,2535.779,2570.036,2603.353,110.399,IY1,AH0,iikam,,110.399,iikam pufaat paqas
