Filename,seq,seq_id,Label,part,word,sentence,before,after,dur_mod,seg_Start,seg_End,pF0_mean,pF0_means001,pF0_means002,pF0_means003,pF0_means004,pF0_means005,pF0_means006,pF0_means007,pF0_means008,pF0_means009,pF0_means010,pF0_means011,pF0_means012,pF0_means013,pF0_means014,pF0_means015,pF0_means016,pF0_means017,pF0_means018,pF0_means019,pF0_means020,pF1_mean,pF1_means001,pF1_means002,pF1_means003,pF1_means004,pF1_means005,pF1_means006,pF1_means007,pF1_means008,pF1_means009,pF1_means010,pF1_means011,pF1_means012,pF1_means013,pF1_means014,pF1_means015,pF1_means016,pF1_means017,pF1_means018,pF1_means019,pF1_means020,pF2_mean,pF2_means001,pF2_means002,pF2_means003,pF2_means004,pF2_means005,pF2_means006,pF2_means007,pF2_means008,pF2_means009,pF2_means010,pF2_means011,pF2_means012,pF2_means013,pF2_means014,pF2_means015,pF2_means016,pF2_means017,pF2_means018,pF2_means019,pF2_means020,pF3_mean,pF3_means001,pF3_means002,pF3_means003,pF3_means004,pF3_means005,pF3_means006,pF3_means007,pF3_means008,pF3_means009,pF3_means010,pF3_means011,pF3_means012,pF3_means013,pF3_means014,pF3_means015,pF3_means016,pF3_means017,pF3_means018,pF3_means019,pF3_means020,dur,issue
VS-39_02.mat,uxi,23,UH0,V1,puxich,oo vura uum puxich ta naxuriha,P,HH,46.093000000000075,811.4,857.493,179.25900000000001,196.799,194.667,193.798,193.305,190.058,187.342,184.274,181.72,179.783,177.24599999999998,175.715,173.688,172.09400000000002,170.515,169.045,168.40900000000002,167.845,167.08900000000003,166.93599999999998,166.562,366.667,246.667,250.12,251.959,257.02099999999996,265.916,279.67,323.019,387.18800000000005,428.13,450.965,460.504,460.657,456.74199999999996,450.85900000000004,445.31699999999995,438.35900000000004,422.233,399.08099999999996,374.704,344.32599999999996,976.1489999999999,1026.904,997.872,976.3589999999999,948.93,924.1,909.318,902.295,910.503,930.868,960.695,994.7689999999999,1011.903,1013.2389999999999,1008.8739999999999,1003.22,998.1,991.209,987.692,991.796,1001.758,2284.675,2527.857,2607.825,2628.208,2603.894,2465.36,2265.966,2047.754,1960.2520000000002,1987.389,2073.688,2207.93,2256.208,2212.1639999999998,2143.925,2134.925,2179.903,2248.971,2308.21,2343.904,2379.532,46.093000000000075,
VS-39_02.mat,uxi,23,HH,C,puxich,oo vura uum puxich ta naxuriha,UH0,IH0,125.99599999999987,857.493,983.4889999999999,161.31799999999998,165.396,163.713,161.91899999999998,159.249,158.14600000000002,151.39600000000002,145.34,145.34,145.34,145.34,145.34,145.34,145.34,145.34,145.34,145.34,145.34,145.34,145.34,205.83700000000002,767.565,274.915,261.509,393.79900000000004,1006.181,1009.5369999999999,1016.85,976.438,975.2819999999999,932.3989999999999,788.715,836.4689999999999,818.438,765.743,792.83,831.408,787.135,803.7130000000001,874.3960000000001,919.5980000000001,338.20099999999996,1393.933,1043.612,1112.123,1329.0,1879.4260000000002,1809.983,1786.359,1696.1470000000002,1737.0020000000002,1465.7120000000002,1376.299,1517.0410000000002,1489.139,1277.62,1265.612,1159.61,1157.74,1318.957,1260.465,1190.027,1161.667,3633.2340000000004,2596.205,3311.137,3492.325,3993.196,3958.946,3950.098,4014.8959999999997,4013.752,3989.965,3995.3179999999998,4027.592,4040.671,4032.8559999999998,3615.87,2986.587,2906.8740000000003,3820.7740000000003,3944.2,3700.527,2331.291,125.99599999999987,
VS-39_02.mat,uxi,23,IH0,V2,puxich,oo vura uum puxich ta naxuriha,HH,CH,65.90100000000018,983.4889999999999,1049.39,187.946,217.455,232.22799999999998,226.02700000000002,212.05900000000003,198.14700000000002,191.658,186.53400000000002,182.729,180.229,178.76,176.797,175.588,174.697,173.93599999999998,173.584,173.87900000000002,174.25599999999997,174.74,175.011,174.957,443.036,376.69199999999995,396.744,407.805,415.165,422.95,430.392,440.059,451.76300000000003,462.282,469.98900000000003,473.866,475.022,477.782,482.955,482.829,480.509,472.969,453.295,426.158,385.542,1380.401,1094.01,1135.5739999999998,1174.993,1196.362,1207.274,1221.455,1243.911,1266.07,1288.479,1322.058,1380.165,1442.656,1490.2579999999998,1542.0720000000001,1573.3629999999998,1592.727,1609.5220000000002,1622.906,1635.4470000000001,1645.342,2528.626,2266.005,2395.923,2416.708,2395.902,2413.538,2463.237,2489.889,2485.4210000000003,2461.757,2420.551,2341.851,2430.141,2711.535,2722.8979999999997,2718.905,2715.44,2698.3920000000003,2708.735,2722.97,2712.8920000000003,65.90100000000018,
VS-39_03.mat,uxi,24,UH0,V1,puxich,haa vura puxich ta naxuriha,P,HH,0.0,936.563,953.6239999999999,162.256,186.65200000000002,185.89,183.537,179.21,176.273,173.702,168.197,165.062,163.174,158.515,155.483,154.17,153.18200000000002,153.341,153.435,152.555,151.993,150.665,147.605,146.441,704.07,349.285,350.18699999999995,347.833,335.921,310.75,263.589,151.874,70.805,593.706,1101.757,1074.9180000000001,1053.101,1034.635,1017.2560000000001,1008.5139999999999,998.3580000000001,974.952,889.4910000000001,818.187,795.829,1521.809,1399.4620000000002,1391.8829999999998,1368.378,1329.384,1279.362,1225.9160000000002,1176.5410000000002,1153.656,1589.858,2003.921,1956.575,1906.78,1860.964,1821.991,1804.2479999999998,1788.39,1756.5610000000001,1327.9460000000001,1051.54,1225.36,2885.9120000000003,2180.141,2167.56,2144.084,2124.282,2107.781,2091.7889999999998,2071.63,2059.869,3013.139,3966.188,3965.518,3966.9040000000005,3975.045,3993.203,4005.054,4021.2209999999995,4053.743,2887.518,1692.34,1727.139,17.060999999999922,V1 absent
VS-39_03.mat,uxi,24,HH,C,puxich,haa vura puxich ta naxuriha,UH0,IH0,115.55499999999995,953.6239999999999,1069.1789999999999,147.906,146.437,149.627,149.627,149.627,149.627,149.627,149.627,149.627,149.627,149.627,149.627,149.627,149.627,149.627,149.627,149.627,149.627,149.627,149.627,149.627,927.425,747.818,765.972,903.5980000000001,912.63,919.1669999999999,943.807,978.2539999999999,1030.474,1060.878,1054.527,1062.9180000000001,1094.087,1101.836,1126.129,1128.171,1127.796,1056.4089999999999,751.998,462.249,330.832,1439.5120000000002,1250.127,1301.096,1389.454,1435.5120000000002,1415.8310000000001,1482.615,1559.122,1546.953,1378.27,1495.1429999999998,1735.118,1622.9479999999999,1626.751,1585.0520000000001,1647.7520000000002,1507.905,1210.2089999999998,1201.9260000000002,1216.661,1214.93,3516.8309999999997,1907.181,1920.82,2934.6009999999997,3839.8990000000003,3804.4590000000003,3768.7940000000003,3743.611,3759.724,3795.869,3825.759,3910.583,3923.5759999999996,3897.353,3947.527,3962.2509999999997,3890.097,3802.3720000000003,3641.097,3102.039,2946.978,115.55499999999995,V1 absent
VS-39_03.mat,uxi,24,IH0,V2,puxich,haa vura puxich ta naxuriha,HH,CH,67.90499999999997,1069.1789999999999,1137.0839999999998,183.745,214.015,224.606,216.042,211.03900000000002,202.99200000000002,197.03599999999997,191.21,186.63400000000001,182.71099999999998,178.364,175.50400000000002,172.91,171.12599999999998,169.097,167.882,167.02200000000002,166.16299999999998,165.59599999999998,164.578,164.201,449.56699999999995,359.916,389.533,404.404,415.88300000000004,424.44699999999995,431.32,441.184,456.056,473.10900000000004,482.32300000000004,482.38199999999995,480.52099999999996,479.621,476.639,475.236,477.64599999999996,478.07199999999995,477.898,470.973,439.06800000000004,1488.037,1215.5330000000001,1233.627,1260.628,1296.514,1328.523,1344.48,1363.935,1422.6,1497.045,1539.731,1565.1760000000002,1593.148,1622.23,1651.401,1670.85,1674.432,1659.8570000000002,1645.8129999999999,1625.217,1592.0420000000001,2328.547,2438.541,2077.465,2090.9210000000003,2117.487,2078.8779999999997,2142.197,2203.2470000000003,2104.845,1981.4,1964.787,2022.469,2388.41,2659.835,2627.06,2616.998,2608.297,2592.9539999999997,2606.157,2603.093,2580.7729999999997,67.90499999999997,V1 absent
VS-39_06.mat,uxi,25,UH0,V1,puxich,haa vura puxich ta neexrah,P,HH,22.60800000000006,883.3639999999999,905.972,180.176,180.176,180.176,180.176,180.176,190.52,190.52,192.747,193.58599999999998,191.528,188.852,180.893,175.426,175.342,174.67,174.30200000000002,174.327,173.077,171.923,171.39,170.253,561.768,319.428,311.566,313.15,310.05,300.83099999999996,285.28700000000003,263.805,237.081,186.706,119.632,514.346,938.5219999999999,938.421,936.825,934.082,930.5360000000001,921.691,908.145,897.382,888.16,1375.672,1047.097,999.2139999999999,971.168,959.82,951.067,944.2260000000001,939.1189999999999,935.7769999999999,934.409,935.6310000000001,1715.894,2482.135,2444.54,2373.7039999999997,2222.422,1750.776,1354.3870000000002,1421.612,1497.43,1553.816,3146.5820000000003,2606.894,2549.266,2511.215,2495.825,2486.814,2484.032,2486.817,2493.584,2504.51,2508.842,3181.617,3871.6809999999996,3902.5609999999997,3927.033,3938.935,3935.87,3905.203,3864.145,3842.132,3831.235,22.60800000000006,
VS-39_06.mat,uxi,25,HH,C,puxich,haa vura puxich ta neexrah,UH0,IH0,123.14100000000008,905.972,1029.113,169.118,168.91099999999997,165.352,163.032,163.032,163.032,163.032,163.032,163.032,163.032,163.032,163.032,163.032,163.032,163.032,163.032,163.032,163.032,163.032,163.032,219.595,941.053,871.068,852.941,841.678,866.4839999999999,875.413,917.6239999999999,943.7460000000001,877.8739999999999,943.9730000000001,1028.736,1045.901,899.176,893.4580000000001,1009.9830000000001,1036.645,993.187,1016.314,1081.28,1108.458,749.7669999999999,1437.743,1591.501,1560.265,1718.114,1553.414,1229.4080000000001,1133.849,1113.598,1193.737,1403.094,1726.9520000000002,1798.231,1388.27,1085.42,1436.48,1566.9279999999999,1809.871,1549.58,1138.473,1439.764,1231.09,3834.7940000000003,3834.679,3786.6209999999996,3787.9640000000004,3829.617,3762.759,3785.469,3853.1679999999997,3880.927,3923.2340000000004,3962.375,3937.592,3904.2929999999997,3509.9570000000003,3961.176,3954.363,3886.347,3824.57,3760.2529999999997,3763.058,3746.292,123.14100000000008,
VS-39_06.mat,uxi,25,IH0,V2,puxich,haa vura puxich ta neexrah,HH,CH,76.43200000000002,1029.113,1105.545,171.502,219.025,212.13299999999998,200.097,191.738,184.653,178.69400000000002,171.57,167.17700000000002,164.888,163.285,161.887,160.672,159.69899999999998,158.876,158.134,157.256,156.049,154.70600000000002,153.543,152.37,430.658,313.85400000000004,361.556,395.26599999999996,413.4,426.716,443.151,457.49699999999996,460.434,458.85400000000004,459.856,463.588,467.564,465.72900000000004,458.985,457.475,458.61800000000005,450.901,430.385,409.22900000000004,392.463,1416.444,1157.7910000000002,1036.188,1145.058,1167.996,1213.913,1277.999,1307.2169999999999,1301.098,1283.057,1280.935,1349.168,1527.5720000000001,1600.3010000000002,1642.1729999999998,1657.4170000000001,1656.1370000000002,1657.99,1665.6170000000002,1686.11,1693.0810000000001,2047.501,3774.824,2759.613,1408.432,1603.5079999999998,1607.636,1571.225,1562.0810000000001,1673.9,1768.559,1794.39,1798.402,1921.1970000000001,2132.495,2106.803,2187.265,2285.6679999999997,2351.729,2348.931,2018.872,1865.93,76.43200000000002,
VS-39_07.mat,uxi,26,UH0,V1,puxich,haa vura uum puxich ta neexrah,P,HH,0.0,950.115,991.28,152.756,150.217,152.871,152.784,151.539,152.025,152.317,152.996,153.686,153.76,154.85399999999998,155.111,153.866,152.38,151.55100000000002,152.05700000000002,153.08700000000002,153.08700000000002,153.08700000000002,153.08700000000002,153.08700000000002,595.512,376.23900000000003,340.98800000000006,303.379,291.254,298.373,314.693,350.124,410.615,459.286,477.955,485.648,518.044,706.2180000000001,939.515,999.408,1008.1110000000001,991.6469999999999,953.1519999999999,911.025,883.081,1692.104,1777.361,1753.316,1735.431,1723.995,1719.578,1723.049,1756.3239999999998,1855.895,1897.955,1821.8470000000002,1727.021,1568.162,1574.767,1719.776,1737.3929999999998,1720.0020000000002,1648.955,1535.332,1443.881,1376.993,3388.788,4001.156,4080.335,2870.5679999999998,2220.361,2254.6839999999997,2428.235,3338.8559999999998,3878.6,3772.131,3692.869,2967.127,2043.874,3057.2,3770.3920000000003,3794.745,3825.03,3882.153,3914.485,3877.637,3842.744,41.164999999999964,V1 absent
VS-39_07.mat,uxi,26,HH,C,puxich,haa vura uum puxich ta neexrah,UH0,IH0,107.69200000000001,991.28,1098.972,197.457,197.457,197.457,197.457,197.457,197.457,197.457,197.457,197.457,197.457,197.457,197.457,197.457,197.457,197.457,197.457,197.457,197.457,197.457,197.457,197.457,910.352,854.17,835.8810000000001,872.221,826.049,813.495,847.419,864.49,880.7310000000001,923.3939999999999,990.284,996.765,1001.4810000000001,1003.883,976.034,994.115,1026.412,1030.09,996.138,1010.694,530.876,1366.279,1242.643,1089.67,1426.171,1658.309,1638.8970000000002,1661.547,1648.9520000000002,1435.0539999999999,1189.695,1154.49,1153.74,1126.808,1117.538,1326.9979999999998,1338.0379999999998,1239.383,1323.99,1240.242,1728.0279999999998,1519.058,3938.3940000000002,3821.474,3829.3070000000002,3849.1279999999997,3866.8590000000004,3865.861,3881.637,3995.368,4011.289,3993.389,3982.5370000000003,4003.08,4057.861,4100.181,4058.1690000000003,4080.283,3970.9590000000003,4273.840999999999,4175.476,3999.1040000000003,3131.7540000000004,107.69200000000001,V1 absent
VS-39_07.mat,uxi,26,IH0,V2,puxich,haa vura uum puxich ta neexrah,HH,CH,69.45800000000008,1098.972,1168.43,190.89700000000002,199.718,209.69,207.357,200.547,198.46099999999998,198.297,198.644,199.24,198.37599999999998,197.93400000000003,197.703,197.38400000000001,196.22799999999998,194.02700000000002,189.451,183.22,175.24200000000002,164.93,157.585,151.439,329.61400000000003,316.52299999999997,339.212,357.602,361.666,354.065,342.935,337.36300000000006,330.91900000000004,326.77299999999997,326.39599999999996,319.607,292.08799999999997,267.103,250.007,241.872,239.52700000000002,227.675,215.997,184.209,855.291,1378.2579999999998,1128.719,1113.975,1133.611,1143.621,1146.745,1157.9,1178.488,1186.508,1235.974,1359.654,1437.879,1466.2320000000002,1487.14,1526.797,1576.922,1602.339,1613.365,1625.348,1599.4389999999999,1844.94,3068.25,2655.462,3047.759,3402.592,2960.31,2055.526,3407.9559999999997,3832.526,3769.67,3760.7009999999996,3505.948,3197.6009999999997,3097.715,2982.836,2989.8790000000004,2978.9559999999997,2983.45,2970.929,2250.604,1956.43,3145.772,69.45800000000008,V1 absent
VS-41_09.mat,uxi,27,UH0,V1,puxich,puxich kaarim kunqipmahoonkoonatih,P,HH,0.0,93.375,110.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658.607,573.928,567.0419999999999,564.3919999999999,565.874,570.793,578.4,582.797,588.327,600.757,616.47,636.841,663.203,694.691,711.3710000000001,726.087,750.813,766.956,777.534,786.3389999999999,795.62,1896.104,1914.914,1901.128,1884.935,1866.4679999999998,1846.227,1825.771,1815.78,1807.889,1795.29,1789.3870000000002,1790.703,1800.3770000000002,1821.531,1835.524,1858.568,1912.6760000000002,1977.226,2038.807,2082.8360000000002,2100.014,2551.345,2676.4959999999996,2669.083,2658.8959999999997,2644.941,2628.285,2611.299,2603.071,2596.153,2583.256,2571.061,2556.923,2538.288,2514.555,2501.536,2488.823,2466.0789999999997,2448.699,2435.5860000000002,2424.988,2416.1679999999997,17.229,V1 absent
