,Filename,seq,seq_id,part,issue,dur_mod,dur,Label,timepoint,pF1_means
66,VS-39_02.mat,uxi,23,V1,,46.093000000000075,46.093000000000075,UH0,1,246.667
67,VS-39_02.mat,uxi,23,C,,125.99599999999987,125.99599999999987,HH,1,274.915
68,VS-39_02.mat,uxi,23,V2,,65.90100000000018,65.90100000000018,IH0,1,376.692
69,VS-39_03.mat,uxi,24,V1,V1 absent,0.0,17.060999999999922,UH0,1,349.285
70,VS-39_03.mat,uxi,24,C,V1 absent,115.55499999999996,115.55499999999996,HH,1,747.818
71,VS-39_03.mat,uxi,24,V2,V1 absent,67.90499999999997,67.90499999999997,IH0,1,359.916
72,VS-39_06.mat,uxi,25,V1,,22.608000000000057,22.608000000000057,UH0,1,319.428
73,VS-39_06.mat,uxi,25,C,,123.14100000000008,123.14100000000008,HH,1,871.068
74,VS-39_06.mat,uxi,25,V2,,76.43200000000002,76.43200000000002,IH0,1,313.8540000000001
75,VS-39_07.mat,uxi,26,V1,V1 absent,0.0,41.164999999999964,UH0,1,376.239
76,VS-39_07.mat,uxi,26,C,V1 absent,107.692,107.692,HH,1,854.17
77,VS-39_07.mat,uxi,26,V2,V1 absent,69.45800000000007,69.45800000000007,IH0,1,316.523
78,VS-41_09.mat,uxi,27,V1,V1 absent,0.0,17.229,UH0,1,573.928
79,VS-41_09.mat,uxi,27,C,V1 absent,129.87099999999998,129.87099999999998,HH,1,828.159
80,VS-41_09.mat,uxi,27,V2,V1 absent,65.94700000000003,65.94700000000003,IH0,1,296.694
81,frog-6c.mat,ufi,28,V1,,100.59500000000004,100.59500000000004,UH0,1,309.742
82,frog-6c.mat,ufi,28,C,,142.765,142.765,F,1,416.649
83,frog-6c.mat,ufi,28,V2,,57.76699999999993,57.76699999999993,IH0,1,299.641
84,karuk-2010-05-01-arg-edited-2_42.mat,uxi,29,V1,,63.875,63.875,UH0,1,357.731
85,karuk-2010-05-01-arg-edited-2_42.mat,uxi,29,C,,173.67700000000005,173.67700000000005,HH,1,718.44
86,karuk-2010-05-01-arg-edited-2_42.mat,uxi,29,V2,,71.46800000000002,71.46800000000002,IH0,1,365.805
87,karuk-2010-07-23-ag-vs-1_13.mat,uufi,30,V1,,229.973,229.973,UW1,1,381.371
88,karuk-2010-07-23-ag-vs-1_13.mat,uufi,30,C,,140.4770000000001,140.4770000000001,F,1,364.627
89,karuk-2010-07-23-ag-vs-1_13.mat,uufi,30,V2,,67.46599999999968,67.46599999999968,IH0,1,311.12
90,karuk-2010-07-23-ag-vs-1_14.mat,uufi,31,V1,,296.1579999999997,296.1579999999997,UW1,1,369.82
91,karuk-2010-07-23-ag-vs-1_14.mat,uufi,31,C,,148.6890000000003,148.6890000000003,F,1,520.067
92,karuk-2010-07-23-ag-vs-1_14.mat,uufi,31,V2,,61.57799999999998,61.57799999999998,IH0,1,336.845
93,karuk-2010-07-23-ag-vs-1_15.mat,uufi,32,V1,,182.10400000000016,182.10400000000016,UW1,1,386.035
94,karuk-2010-07-23-ag-vs-1_15.mat,uufi,32,C,,108.68099999999978,108.68099999999978,F,1,383.943
95,karuk-2010-07-23-ag-vs-1_15.mat,uufi,32,V2,,22.892000000000053,22.892000000000053,IH0,1,331.19699999999995
96,karuk-2010-07-23-ag-vs-1_16.mat,uufi,33,V1,,186.84000000000012,186.84000000000012,UW1,1,335.539
97,karuk-2010-07-23-ag-vs-1_16.mat,uufi,33,C,,91.57399999999984,91.57399999999984,F,1,382.677
98,karuk-2010-07-23-ag-vs-1_16.mat,uufi,33,V2,,78.09400000000005,78.09400000000005,IH0,1,264.969
99,karuk-2010-07-23-ag-vs-1_17.mat,iku,35,V1,,190.29299999999992,190.29299999999992,UW1,1,343.667
100,karuk-2010-07-23-ag-vs-1_17.mat,iku,35,C,,109.37400000000022,109.37400000000022,F,1,264.769
101,karuk-2010-07-23-ag-vs-1_17.mat,iku,35,V2,,42.80699999999979,42.80699999999979,IH0,1,1557.6029999999996
102,karuk-2010-07-23-ag-vs-1_17.mat,iku,35,V1,,41.625999999999976,41.625999999999976,IH0,1,361.847
103,karuk-2010-07-23-ag-vs-1_17.mat,iku,35,C,,121.16800000000013,121.16800000000013,K,1,340.571
104,karuk-2010-07-23-ag-vs-1_17.mat,iku,35,V2,,55.51900000000001,55.51900000000001,UH0,1,308.344
105,karuk-2010-07-23-ag-vs-3_05.mat,iku,36,V1,V1 absent,0.0,30.0,IH0,1,561.4780000000002
106,karuk-2010-07-23-ag-vs-3_05.mat,iku,36,C,V1 absent,66.98000000000002,66.98000000000002,K,1,431.594
107,karuk-2010-07-23-ag-vs-3_05.mat,iku,36,V2,V1 absent,49.87999999999989,49.87999999999989,UH0,1,324.4770000000001
108,karuk-2010-07-23-ag-vs-4_09.mat,ikuu,37,V1,,55.695999999999906,55.695999999999906,IH0,1,348.464
109,karuk-2010-07-23-ag-vs-4_09.mat,ikuu,37,C,,149.53500000000008,149.53500000000008,K,1,258.779
110,karuk-2010-07-23-ag-vs-4_09.mat,ikuu,37,V2,,174.96800000000007,174.96800000000007,UW1,1,265.634
