Filename,seq,seq_id,part,issue,dur_mod,dur,Label,word,sentence,before,after,V1_dur,C_dur,V2_dur,V2_maxpF1,V2_maxpF1_tpt,V2_minpF1,V2_minpF1_tpt,V2_pF1diff,timepoint,pF1_means,V1,C,V2,V1_qual,V2_qual
VS-24_01.mat,upi,1,V1,,31.016000000000076,31.016000000000076,UH0,tupithxah,vaa pananitaat uum tupithxah pananusaanva koovura vura,T,P,31.016000000000076,133.08400000000006,55.94999999999982,410.136,9,291.983,1,118.15300000000002,1,284.368,u,p,i,u,i
VS-24_01.mat,upi,1,C,,133.08400000000006,133.08400000000006,P,tupithxah,vaa pananitaat uum tupithxah pananusaanva koovura vura,UH0,IH0,31.016000000000076,133.08400000000006,55.94999999999982,410.136,9,291.983,1,118.15300000000002,1,228.785,u,p,i,u,i
VS-24_01.mat,upi,1,V2,,55.94999999999982,55.94999999999982,IH0,tupithxah,vaa pananitaat uum tupithxah pananusaanva koovura vura,P,TH,31.016000000000076,133.08400000000006,55.94999999999982,410.136,9,291.983,1,118.15300000000002,1,291.983,u,p,i,u,i
VS-24_02.mat,upi,2,V1,,41.61400000000003,41.61400000000003,UH0,upithxah,pananitaat vura koovura upithxah,AH0,P,41.61400000000003,192.49699999999984,44.892000000000046,387.392,13,236.74400000000003,20,150.64799999999997,1,363.301,u,p,i,u,i
VS-24_02.mat,upi,2,C,,192.49699999999984,192.49699999999984,P,upithxah,pananitaat vura koovura upithxah,UH0,IH0,41.61400000000003,192.49699999999984,44.892000000000046,387.392,13,236.74400000000003,20,150.64799999999997,1,210.253,u,p,i,u,i
VS-24_02.mat,upi,2,V2,,44.892000000000046,44.892000000000046,IH0,upithxah,pananitaat vura koovura upithxah,P,TH,41.61400000000003,192.49699999999984,44.892000000000046,387.392,13,236.74400000000003,20,150.64799999999997,1,242.983,u,p,i,u,i
VS-24_03.mat,upi,3,V1,,34.887,34.887,UH0,tupithxah,tupithxah pakoovura pananusaanva koovura,T,P,34.887,104.56699999999996,59.63100000000003,396.286,19,346.436,1,49.85000000000002,1,1005.082,u,p,i,u,i
VS-24_03.mat,upi,3,C,,104.56699999999996,104.56699999999996,P,tupithxah,tupithxah pakoovura pananusaanva koovura,UH0,IH0,34.887,104.56699999999996,59.63100000000003,396.286,19,346.436,1,49.85000000000002,1,1449.65,u,p,i,u,i
VS-24_03.mat,upi,3,V2,,59.63100000000003,59.63100000000003,IH0,tupithxah,tupithxah pakoovura pananusaanva koovura,P,TH,34.887,104.56699999999996,59.63100000000003,396.286,19,346.436,1,49.85000000000002,1,346.436,u,p,i,u,i
VS-24_05.mat,upi,4,V1,V1 voiceless,29.80599999999993,29.80599999999993,UH0,tupithxah,vaa kaan tupithxah,T,P,29.80599999999993,148.68600000000004,54.43099999999981,354.675,8,267.913,1,86.762,1,769.9110000000002,u,p,i,u,i
