Filename	Label	seg_Start	seg_End	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF0_means006	pF0_means007	pF0_means008	pF0_means009	pF0_means010	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF1_means006	pF1_means007	pF1_means008	pF1_means009	pF1_means010	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF2_means006	pF2_means007	pF2_means008	pF2_means009	pF2_means010	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	pF3_means006	pF3_means007	pF3_means008	pF3_means009	pF3_means010	
VS-24_01.mat	"AH0"	870.000	910.000	232.173	229.939	231.118	231.651	232.187	232.488	232.679	232.896	232.949	232.998	233.091	470.169	490.677	504.239	511.741	516.304	522.484	518.217	486.585	445.415	391.062	332.563	1985.920	1892.373	1909.564	1921.715	1944.948	1986.249	2022.512	2029.202	2035.767	2056.839	2063.824	2682.959	2699.168	2698.214	2695.275	2701.480	2706.327	2684.959	2650.065	2631.937	2643.474	2709.503	
VS-24_01.mat	"N"	910.000	950.000	233.581	233.230	233.329	233.166	232.770	232.672	232.246	231.546	231.689	234.725	239.489	297.099	306.297	308.726	305.535	289.219	293.459	311.275	302.358	284.647	280.876	287.770	2009.930	2046.116	2051.899	2066.637	2044.122	2114.801	2180.113	1969.749	1821.484	1874.210	1932.466	2609.066	2746.273	2726.383	2692.279	2630.862	2563.760	2467.755	2480.539	2534.106	2579.391	2644.699	
VS-24_01.mat	"IH0"	950.000	1000.000	232.857	234.516	231.525	231.818	231.818	231.818	231.818	231.818	231.818	231.818	231.818	388.760	308.773	359.072	417.152	448.428	426.074	402.452	372.059	364.036	382.510	412.690	1857.610	1931.576	1925.927	1919.239	1875.798	1724.643	1619.095	1735.659	1757.383	1928.164	2121.723	2750.603	2760.513	2878.776	2850.683	2827.782	2777.501	2738.258	2658.798	2591.064	2645.108	2772.505	
VS-24_01.mat	"T"	1000.000	1050.000	227.964	227.964	227.964	227.964	227.964	226.817	227.629	228.495	230.165	230.165	230.165	558.455	448.058	420.922	334.700	301.836	295.621	1134.930	983.673	624.161	513.842	513.266	1897.328	2172.090	2136.280	1840.549	1731.739	1817.816	2320.166	2073.209	1844.647	1630.460	1433.820	2825.701	2913.336	2816.350	2715.416	2716.778	2735.796	3389.161	3047.564	2660.796	2626.018	2638.527	
VS-24_01.mat	"AA1"	1050.000	1180.000	171.842	171.842	171.842	180.258	177.040	171.652	169.239	169.699	171.461	172.123	170.845	692.633	573.213	657.631	702.804	705.818	718.654	725.922	708.865	712.351	735.958	692.778	1431.103	1515.031	1528.742	1517.438	1472.625	1439.965	1437.729	1368.794	1352.572	1371.977	1309.985	3104.128	2830.805	3119.663	3357.487	3209.233	3140.662	3140.766	3135.549	3025.275	3047.949	3056.475	
VS-24_01.mat	"T"	1180.000	1300.000	159.594	164.992	156.944	138.797	166.926	168.885	168.581	168.581	168.581	168.581	168.581	704.737	621.810	667.990	730.376	707.728	731.826	683.209	667.523	714.283	735.094	784.697	1370.240	1224.249	1275.563	1417.244	1253.533	1407.454	1414.288	1382.063	1387.899	1391.103	1556.287	3053.311	2905.561	3285.645	3473.582	3183.670	3333.750	3166.842	3100.678	3126.357	2732.072	2277.580	
VS-24_01.mat	"UW1"	1300.000	1390.000	170.686	170.686	170.686	170.686	175.513	172.204	170.237	169.002	169.359	169.590	169.106	399.142	439.004	440.298	481.069	460.214	419.846	379.513	352.075	349.052	338.121	331.521	995.053	1225.196	989.033	1000.292	930.302	881.440	892.744	883.794	1042.814	1077.816	1000.023	2783.942	2308.816	2970.155	3097.316	2775.795	2839.942	2971.527	2878.740	2707.164	2692.247	2642.734	
VS-24_01.mat	"M"	1390.000	1510.000	161.586	167.918	166.297	163.908	160.734	158.541	156.626	157.656	159.712	159.712	159.712	289.376	320.947	299.642	285.513	299.538	226.939	276.686	300.275	313.746	311.090	261.529	1698.712	1025.765	1049.531	951.021	1880.768	1997.647	2064.418	1642.174	1999.339	2197.999	2150.923	2856.529	2884.982	2835.510	2675.329	2590.198	2808.564	2784.212	2744.946	2905.931	3142.839	3176.011	
VS-24_01.mat	"T"	1510.000	1580.593	0	0	0	0	0	0	0	0	0	0	0	861.922	164.093	298.096	958.438	983.251	973.096	972.912	1041.787	1094.140	1201.220	977.103	2198.543	1899.853	2049.054	2326.153	2227.730	2211.966	2247.382	2253.283	2253.606	2374.835	2173.625	3254.868	3079.031	3137.051	3576.963	3356.018	3149.024	3013.024	3157.597	3190.561	3387.160	3477.199	
VS-24_01.mat	"UH0"	1580.593	1611.609	224.438	237.322	238.122	237.753	234.313	227.551	223.588	219.752	216.192	212.104	206.399	283.346	293.822	310.313	316.235	313.166	303.285	290.479	278.032	265.673	249.809	232.990	1012.492	1252.083	1181.718	1082.070	1010.457	981.644	960.047	935.986	916.019	904.020	909.991	2540.800	2570.161	2535.288	2509.276	2523.205	2542.396	2554.708	2551.963	2529.791	2535.311	2550.191	
